fileid,mic_file,duration_sec,predicted_doa_count,predicted_doas,selected_enhanced_index,selected_doa,selected_rms,selected_enhanced_file,gt_dominant_spk1_doa,selected_doa_error_deg,gt_text_file,wer,edit_distance,ref_words,reference,hypothesis,ipdnet2_sec,dsenet_sec,whisper_sec,total_sec,ipdnet2_rtf,dsenet_rtf,whisper_rtf,total_rtf,under_realtime
87,mic_fileid_87_doa124_3spk.wav,17.381125,3,"2,80,123",2,123,0.047722208966731454,enhanced_fileid_87_pred123_idx2_loudest.wav,124,1.0,text_fileid_87_doa124_spk1.txt,0.2571428571428571,9,35,HE CAME UP INTO THE GARDEN AND ESTABLISHED HIMSELF UNDER A BURDOCK AND BEGAN TO PRACTISE ITALIAN SCALES THE RESULT WAS THAT POOR OLD DOCTOR BULLFROG INSTEAD OF BEING CONSIDERED AS A RESPECTABLE OLD BORE,He came up into the garden and established himself under a bird that began to practice the town scale. The result was that coral doctor bullfrog instead of being considered as a respectable old boar.,0.15252973700012262,5.132500181999831,0.3574324969999907,5.642462415999944,0.008775596343741997,0.295291598328637,0.020564405180906912,0.3246315998532859,1
88,mic_fileid_88_doa31_3spk.wav,15.98675,3,"23,67,121",2,121,0.0395377327579814,enhanced_fileid_88_pred121_idx2_loudest.wav,122,1.0,text_fileid_88_doa122_spk1.txt,0.16216216216216217,6,37,MISS CARLYLE'S EYES SEARCHING HER FACE INQUISITIVELY ALL THE TIME WHY DO YOU WEAR GLASSES BEGAN MISS CORNY ABRUPTLY AS SOON AS THEY WERE INDOORS ANOTHER DEEP FLUSH AND AN IMPERCEPTIBLE HESITATION MY EYES ARE NOT STRONG,"As Carliles' eyes searching her face inquisitively all the time. Why do you wear glasses? Again, Liscorny, abruptly as soon as they were indoors, by another deep flush and an imperceptible hesitation. My eyes are not strong.",0.13802880299999742,4.635299138999926,0.49543517200004317,5.268763113999967,0.008633950177490572,0.2899463079737862,0.03099036214365291,0.3295706202949296,1
89,mic_fileid_89_doa150_3spk.wav,17.14725,3,"85,159,220",2,220,0.03404793815024271,enhanced_fileid_89_pred220_idx2_loudest.wav,226,6.0,text_fileid_89_doa226_spk1.txt,0.9166666666666666,44,48,GIRDLES STRINGS AND LOOPS MANY OF THEM BEAUTIFULLY MADE AND ORNAMENTED THE ANCIENT IRISH WORE A TROUSERS WHICH WAS SO TIGHT FITTING AS TO SHOW PERFECTLY THE SHAPE OF THE LIMBS WHEN TERMINATING BELOW THE ANKLES IT WAS HELD DOWN BY A SLENDER STRAP PASSING UNDER THE FOOT,"Garbin, take a look. It acts as a journal typicallyليhtal so that you nuance the west Edit will tell you those ingoles by Swenni Square to pass up to the flat.",0.14497589399979915,5.097873196999899,3.0317282359999354,8.274577326999633,0.00845476061758003,0.2972997534298444,0.17680550735540307,0.4825600214028275,1
90,mic_fileid_90_doa49_3spk.wav,16.155625,3,"51,87,177",2,177,0.034347983236093976,enhanced_fileid_90_pred177_idx2_loudest.wav,290,113.0,text_fileid_90_doa290_spk1.txt,1.40625,45,32,A REPRESENTATIVE ASSEMBLY DRAWN FROM AMONG THEMSELVES WOULD SIMPLY REFLECT THEIR OWN TURBULENT INSUBORDINATION IT WOULD REFUSE ITS AUTHORITY TO ALL PROCEEDINGS WHICH WOULD IMPOSE ON THEIR SAVAGE INDEPENDENCE ANY IMPROVING RESTRAINT,"He had all the state houses of the country rance act for documents and the room was inside him in the Department of State. And it was just courts could be, be copied them. All went well with the work until William Larson became Secretary of State.",0.14844787800006998,4.714883859999873,0.45956722000005357,5.322898957999996,0.009188618700921195,0.2918416254400478,0.028446266857521982,0.329476510998491,1
91,mic_fileid_91_doa65_3spk.wav,13.204125,3,"59,87,139",2,139,0.0798700378700021,enhanced_fileid_91_pred139_idx2_loudest.wav,144,5.0,text_fileid_91_doa144_spk1.txt,0.0,0,27,SATISFACTORY INDEED VERY SATISFACTORY BARBARA IVANOVNA TOLD ME TODAY HOW OUR TROOPS ARE DISTINGUISHING THEMSELVES IT CERTAINLY DOES THEM CREDIT AND THE PEOPLE TOO ARE QUITE MUTINOUS,Satisfactory indeed. Very satisfactory. Barbara Ivanovna told me today how our troops are distinguishing themselves. It certainly does them credit. And the people too are quite mutinous.,0.1192299130000265,3.5019154789999902,0.3417526700000053,3.962898062000022,0.009029747370615357,0.26521374790075,0.025882265579885478,0.3001257608512508,1
92,mic_fileid_92_doa79_3spk.wav,17.673375,3,"72,96,242",0,72,0.02379105749776969,enhanced_fileid_92_pred72_idx0_loudest.wav,256,176.0,text_fileid_92_doa256_spk1.txt,1.0,40,40,THE BREEZE THE SHINING SOLITUDE OF FIELDS OR WOODS HOWEVER MUCH ONE LOVES A WOMAN WHATEVER CONFIDENCE ONE MAY HAVE IN HER WHATEVER CERTAINTY HER PAST MAY OFFER US AS TO HER FUTURE ONE IS ALWAYS MORE OR LESS JEALOUS,Whatever she wanted in us should be hers. He'd just let her work. They'd be like sweethearts together. He ain't his girl. Old Crabber goes off into dream hunting. Section 5,0.1482742059999964,5.310622844000136,0.433098790999793,5.891995840999925,0.008389693875674363,0.30048719296682924,0.024505720667376378,0.33338260750987997,1
93,mic_fileid_93_doa3_3spk.wav,16.54,3,"2,39,182",0,2,0.059669765278541134,enhanced_fileid_93_pred2_idx0_loudest.wav,3,1.0,text_fileid_93_doa3_spk1.txt,0.12903225806451613,4,31,SUCH AS HAVE GUIDED MEN ALONG THE PATH OF TRUTH SINCE THE BEGINNING OF THE WORLD FROM WHAT HO SHE BUMPS TO ICH DIEN AND MORE THE THOUGHT OCCURRED TO ME,"Such as have guided men along the path of truth since the beginning of the world, from wa-ho she bumps, to ich-beam, and more. The thought occurred to me.",0.1427615490001699,4.9134704870000405,0.3608584309999969,5.417090467000207,0.008631290749707976,0.297065930290208,0.021817317472793044,0.32751453851270906,1
94,mic_fileid_94_doa101_3spk.wav,14.641875,3,"20,100,358",1,100,0.050447661539767846,enhanced_fileid_94_pred100_idx1_loudest.wav,101,1.0,text_fileid_94_doa101_spk1.txt,0.16666666666666666,6,36,IN HER YOUTH SHE HAD DECLINED THE ADDRESSES OF A GENTLEMAN WHO HAD THE RECOMMENDATIONS OF GOOD CHARACTER AND CONNECTIONS AND POSITION IN LIFE OF EVERYTHING IN FACT EXCEPT THE SUBTLE POWER OF TOUCHING HER HEART,"In her youth, she had to quietly address the image of a gentleman who had the recommendations of good character and connections and position of life, but everything, in fact, except the subtle power of touching her heart.",0.12561184900005173,4.086214593000477,0.3862129310000455,4.598039373000574,0.008578945592695725,0.2790772761685561,0.026377286447264812,0.3140335082085166,1
95,mic_fileid_95_doa59_3spk.wav,16.541875,3,"54,139,209",0,54,0.028047869811147506,enhanced_fileid_95_pred54_idx0_loudest.wav,125,71.0,text_fileid_95_doa125_spk1.txt,1.3333333333333333,40,30,WHICH A SAD EXPERIENCE HAS BROUGHT US IS WORTH OUR OWN PERSONAL SHARE OF PAIN SURELY IT IS NOT POSSIBLE TO FEEL OTHERWISE ANY MORE THAN IT WOULD BE POSSIBLE,"What's to do with that sucky? She lifted up those eyes. Usually so soft and serene, now they were pulled up a light that'd been dignity and shining through tears. To do, she said. Calls me. I talk better at the...",0.14134628700003304,4.842640662000122,0.5403837549999935,5.524370704000148,0.008544756081159665,0.29275040840292416,0.03266762413571578,0.3339627886197996,1
96,mic_fileid_96_doa99_3spk.wav,17.43275,3,"3,97,158",2,158,0.03948441296671406,enhanced_fileid_96_pred158_idx2_loudest.wav,160,2.0,text_fileid_96_doa160_spk1.txt,0.1956521739130435,9,46,THEN WITH HIS OTHER HAND ON HIS WRIST HE BENT THE FOREARM SHARPLY AND FELT THE BICEPS AS ROUND AND HARD AS A CRICKET BALL SPRING UP UNDER HIS FINGERS FEEL THAT SAID HE THE PUBLICAN AND HORSE BREAKER FELT IT WITH AN AIR OF REVERENCE,"Then, with his other hand on his wrist, he bent the forearm sharply, and felt the biceps as well as the cricket ball spring up under his fingers. Feel that, sonny! The public and the horse-breaker felt it with an air of reverence.",0.139638431000094,5.258668339999986,0.548277273000167,5.946584044000247,0.008010120663698729,0.30165454905278777,0.03145099155326424,0.34111566126975074,1
97,mic_fileid_97_doa115_3spk.wav,16.94075,3,"0,72,99",2,99,0.004231816988072744,enhanced_fileid_97_pred99_idx2_loudest.wav,251,152.0,text_fileid_97_doa251_spk1.txt,1.0,38,38,HE CONTINUED TO FOLLOW THE PATH TO THE GLADE BUT TO HIS GREAT SURPRISE CARLINI ARRIVED ALMOST AS SOON AS HIMSELF LET US DRAW LOTS LET US DRAW LOTS CRIED ALL THE BRIGANDS WHEN THEY SAW THE CHIEF,Thank you.,0.15201570900012484,5.045131617999914,0.6321709379999447,5.8293182649999835,0.008973375381852918,0.2978104049702589,0.037316585039029834,0.34410036539114164,1
98,mic_fileid_98_doa46_3spk.wav,16.43225,3,"23,44,129",2,129,0.0615362656007854,enhanced_fileid_98_pred129_idx2_loudest.wav,128,1.0,text_fileid_98_doa128_spk1.txt,0.20930232558139536,9,43,THAT OLD NUISANCE OF A RACHEL LYNDE WAS HERE AGAIN TODAY PESTERING ME FOR A SUBSCRIPTION TOWARDS BUYING A CARPET FOR THE VESTRY ROOM SAID MISTER HARRISON WRATHFULLY I DETEST THAT WOMAN MORE THAN ANYBODY I KNOW SHE CAN PUT A WHOLE SERMON,"That old nuisance of a Rachel Linde was here again today, pestering me for a subscription towards buying a carpet for the best free room, said Mr. Harrison, wrathfully. I had to test that one more than anybody I know. She could put a whole sermon.",0.13570782199985842,4.871015361000218,0.5128813840001385,5.519604567000215,0.008258626907444715,0.2964302126002354,0.031211878105563053,0.3359007176132432,1
99,mic_fileid_99_doa33_3spk.wav,17.2605,3,"34,110,237",0,34,0.031115228427577895,enhanced_fileid_99_pred34_idx0_loudest.wav,247,147.0,text_fileid_99_doa247_spk1.txt,1.3333333333333333,56,42,ONLY EXISTS THE HONOUR OF THE STATE WHICH IS HIS HONOUR HE DOES NOT LOOK UPON HIMSELF AS A FREE AGENT WORKING OUT HIS OWN PERSONAL SALVATION SPIRITUAL AGONIZING IS UNKNOWN TO HIM HE HAS A SENSE OF CALM TRUST IN FATE,"There were no boyfriends, but the whole really filled the stages of the rest of the imaginary audience, boys. I tell you, I was to make a million out of this cubie, I'd give it straight to the poor. Yes, sir. Divide it up into a hundred blocks of a thousand dollars each, and give it to the people that hadn't ever.",0.15080164300002252,5.089267924000069,0.6572189239998352,5.897288490999927,0.008736806175952174,0.29485055033168617,0.03807647078588889,0.34166382729352723,1
100,mic_fileid_100_doa58_3spk.wav,14.7365,3,"57,104,135",2,135,0.02060371675814387,enhanced_fileid_100_pred135_idx2_loudest.wav,258,123.0,text_fileid_100_doa258_spk1.txt,0.9512195121951219,39,41,BUT CONTINUED TO SING HER RHYMES AS BEFORE FOR HOWEVER MUCH GROWN PEOPLE MIGHT LAUGH AT HER THE CHILDREN SEEMED TO ENJOY THEM VERY MUCH AND NOT ONE OF THEM WAS TOO PEEVISH TO BE QUIETED AND SOOTHED BY HER VERSES,"Roar within the reach of the general public, acknowledge the whole social life of ancient Ireland. P.W.J. Nair Malfoy February",0.13251016099980006,4.109335035000186,0.3407583700000032,4.582603565999989,0.00899196966713942,0.278854207919125,0.023123426186679553,0.31096960377294397,1
101,mic_fileid_101_doa238_3spk.wav,17.085,3,"0,89,198",0,0,0.0031799382797578937,enhanced_fileid_101_pred0_idx0_loudest.wav,272,88.0,text_fileid_101_doa272_spk1.txt,1.0,30,30,MISTER BERYL SUCH A KIND GENTLEMAN MA'AM SAID YOU WOULD HELP ME I WILL SO LONG AS YOU ARE HONEST JERRY THRUST HIS TONGUE IN HIS CHEEK BUT JULIUS ANSWERED,,0.14912694999998166,5.047967911999649,0.0803904900001271,5.277485351999758,0.008728530875035508,0.2954619790459262,0.004705325724327017,0.3088958356452887,1
102,mic_fileid_102_doa204_3spk.wav,17.27275,3,"81,205,336",1,205,0.0355420977513183,enhanced_fileid_102_pred205_idx1_loudest.wav,324,119.0,text_fileid_102_doa324_spk1.txt,0.9487179487179487,37,39,THESE CONSIDERATIONS RELATE TO THE FIRST TWO CAUSES OF FAILURE IN A REPRESENTATIVE GOVERNMENT THE THIRD IS WHEN THE PEOPLE WANT EITHER THE WILL OR THE CAPACITY TO FULFILL THE PART WHICH BELONGS TO THEM IN A REPRESENTATIVE CONSTITUTION,"I, by, two or three others, strolling, and we all make measurements together. A general opinion is that there has been a lot of break in the night.",0.150620065999874,5.11840313499988,0.3122959379998065,5.581319138999561,0.008720097610390587,0.2963282126470817,0.018080267357531748,0.3231285776150041,1
103,mic_fileid_103_doa27_3spk.wav,15.518875,3,"3,29,53",2,53,0.04507415659317536,enhanced_fileid_103_pred53_idx2_loudest.wav,59,6.0,text_fileid_103_doa59_spk1.txt,0.225,9,40,THEN I REALLY DO THINK THAT HE HAS UNCOMMON BAD TASTE SAID LUCY WITH A REALITY IN HER VOICE DIFFERING MUCH FROM THE TONE OF BANTER SHE HAD HITHERTO USED WHAT LUCY SAID HER SISTER IN LAW LOOKING AT HER,"Then I really do think that his uncalled bad taste, so Lucy, with the ralindy in her voice differing much from the tone of banter she had hitherto used. What Lucy! said her sister in law when he had her.",0.13514858299981825,4.407917144000066,0.4932592580000801,5.036324984999965,0.008708658520660696,0.28403586883714615,0.031784472650245595,0.32452900000805246,1
104,mic_fileid_104_doa10_3spk.wav,16.974375,3,"8,63,174",0,8,0.030430876205438984,enhanced_fileid_104_pred8_idx0_loudest.wav,301,67.0,text_fileid_104_doa301_spk1.txt,0.9782608695652174,45,46,BUT IN THE YARD THERE WAS A LIGHT FROM THE FIRE AT LITTLE MYTISHCHI A MILE AND A HALF AWAY AND THROUGH THE NIGHT CAME THE NOISE OF PEOPLE SHOUTING AT A TAVERN MAMONOV'S COSSACKS HAD SET UP ACROSS THE STREET AND THE ADJUTANT'S UNCEASING MOANS,"And Hath has its aim, the altering of teaching and human, not faith that was of God. He did not work by the German monk, by Riesme, but by enthusiasm. With him, logic always gave way before inspiration. He was not a theologian.",0.1471632769998905,5.054803693999929,0.5025103769999077,5.7044773479997275,0.008669731698509696,0.2977902688022345,0.029604057704622867,0.3360640582053671,1
105,mic_fileid_105_doa7_3spk.wav,16.3715,3,"18,47,132",2,132,0.05632662782489559,enhanced_fileid_105_pred132_idx2_loudest.wav,134,2.0,text_fileid_105_doa134_spk1.txt,0.07317073170731707,3,41,I DIDN'T SUPPOSE THERE WAS ANY ONE WHO DIDN'T KNOW THOSE SHARP SQUEAKY VOICES THEY RATHER GET ON MY NERVES WHAT ANYBODY WANTS TO SQUEAK LIKE THAT FOR WHEN THEY CAN SING AS ROSEBREAST CAN IS MORE THAN I CAN UNDERSTAND,"I didn't suppose there was anyone who didn't know those sharp, squeaky voices. They'd rather get on my nerves. What anybody wants to squeak like that for when they can sing as Rosebreast can is more than I can understand.",0.13948474799985888,4.715197359000058,0.44566503300006843,5.300347139999985,0.008519973612671953,0.28801254368873086,0.027222003664909653,0.32375452096631246,1
106,mic_fileid_106_doa79_3spk.wav,16.99375,3,"79,131,179",1,131,0.04959264180475674,enhanced_fileid_106_pred131_idx1_loudest.wav,130,1.0,text_fileid_106_doa130_spk1.txt,0.05128205128205128,2,39,A SINGLE GLANCE AT THE LANDSCAPE WAS SUFFICIENT TO SHOW ME HOW WIDELY DIFFERENT IT WAS FROM ANYTHING I HAD EVER BEHELD AT NIGHT IT BLEW A GALE OF WIND AND HEAVY SQUALLS FROM THE MOUNTAINS SWEPT PAST US,A single glance at the landscape was sufficient to show me how widely different it was from anything I had ever built. At night it blew a gaol of wind and heavy squalls from the mountains swept past us.,0.1575661920001039,5.069175204000203,0.37448801400000775,5.601229410000315,0.009272008356019356,0.29829644451637827,0.022036808473704025,0.3296052613461017,1
107,mic_fileid_107_doa58_3spk.wav,16.556,3,"60,120,314",0,60,0.061253761548545074,enhanced_fileid_107_pred60_idx0_loudest.wav,58,2.0,text_fileid_107_doa58_spk1.txt,0.09090909090909091,3,33,WHY WHAT'S UP SAID PHILIP SURPRISED AT WILLIAM'S UNUSUAL MANNER AND AT THE SAME TIME RATHER GRATIFIED TO FIND A REFLECTION OF HIS OWN FEELINGS ABOUT KINRAID COULSON'S FACE WAS PALE WITH ANGER,"Why, what's up? said Philip, surprised that William's unusual manner, and at the same time rather gratified to find a reflection of his own feelings about Pynraid. Coulson's face was pale of anger.",0.15025306099983027,4.856253743000025,0.4266336250000222,5.433140428999877,0.009075444612214923,0.29332288856004013,0.025769124486592306,0.32816745765884736,1
108,mic_fileid_108_doa63_3spk.wav,15.3955,3,"5,59,206",1,59,0.05038769885267333,enhanced_fileid_108_pred59_idx1_loudest.wav,63,4.0,text_fileid_108_doa63_spk1.txt,0.0,0,32,A REPRESENTATIVE ASSEMBLY DRAWN FROM AMONG THEMSELVES WOULD SIMPLY REFLECT THEIR OWN TURBULENT INSUBORDINATION IT WOULD REFUSE ITS AUTHORITY TO ALL PROCEEDINGS WHICH WOULD IMPOSE ON THEIR SAVAGE INDEPENDENCE ANY IMPROVING RESTRAINT,A representative assembly drawn from among themselves would simply reflect their own turbulent insubordination. It would refuse its authority to all proceedings which would impose on their savage independence any improving restraint.,0.13371342400000685,4.449588297999981,0.3551323289998436,4.938434050999831,0.008685227761359283,0.28901875859829046,0.02306728128348177,0.3207712676431315,1
109,mic_fileid_109_doa236_3spk.wav,17.4635,3,"4,49,196",0,4,0.017170807860899175,enhanced_fileid_109_pred4_idx0_loudest.wav,236,128.0,text_fileid_109_doa236_spk1.txt,0.9393939393939394,31,33,NOR ARE THEY EVER RECALLED WITHOUT BRINGING BACK WITH THEM MYRIADS OF SLUMBERING FEELINGS AND HALF FORGOTTEN IMAGES WE HEAR THE SWEET LOW VOICE OF THE MOTHER SINGING SOFT LULLABIES TO HER DARLING,The fashions that celebrated the departure of William the Canary in the Stephen government was a fair estimate for the regard of Milsey's fellow citizens held him.,0.1483711900000344,5.27375860799998,0.2978908599998249,5.720020657999839,0.008496074097405125,0.30198749437397887,0.017057912789522428,0.32754148126090643,1
110,mic_fileid_110_doa31_3spk.wav,10.852875,3,"27,113,354",1,113,0.027922514682404916,enhanced_fileid_110_pred113_idx1_loudest.wav,265,152.0,text_fileid_110_doa265_spk1.txt,1.1851851851851851,32,27,ENOW OF PATRIOTS STILL REMAINED TO KEEP UP THE ILL HUMOR OF THE HOUSE AND MEN NEEDED BUT LITTLE INSTRUCTION OR RHETORIC TO RECOMMEND TO THEM PRACTICES,"We have a long trip before us, Lieutenant Macken said, and we leave here on a special train in two hours. In short time, we will be in the thick of it.",0.10921433600015007,2.6073175939998237,0.3383239429999776,3.0548558729999513,0.010063170910947567,0.24024211040851606,0.031173669926169573,0.2814789512456332,1
111,mic_fileid_111_doa38_3spk.wav,17.21975,3,"34,59,185",0,34,0.04585180716194184,enhanced_fileid_111_pred34_idx0_loudest.wav,186,152.0,text_fileid_111_doa186_spk1.txt,1.0,47,47,BUT THE DAY DID NOT TURN OUT SO BADLY AFTER ALL AS WE WORKED OUR WAY OUT OF THIS UNCERTAINTY AND FOUND OUT WHAT WAS BEHIND THE PITCH DARK CLOUDS DURING THE FORENOON THE SUN CAME THROUGH AND THRUST ASIDE THE FOG FOR A WHILE AND THERE,"And with difficulty, effort, and stress, like the opening of a door growing rusty on its hinges, a smile appeared on the face of the attentive eyes. And from that opening door came a breath of fragrance which suffused Pierre with a happiness he had long forgotten.",0.14387750399987453,5.106254528999898,0.45354270600000746,5.70367473899978,0.00835537705250509,0.2965347655453707,0.02633851861960873,0.33122866121748457,1
112,mic_fileid_112_doa172_3spk.wav,17.42725,3,"157,175,307",2,307,0.05126880312532711,enhanced_fileid_112_pred307_idx2_loudest.wav,172,135.0,text_fileid_112_doa172_spk1.txt,0.9767441860465116,42,43,SETTLING SILENTLY IN THE DRY MOUNTAIN AIR OR MASSED IN FLAKES SOFT AND DOWNY TO LIE OUT ALONE IN THE MOUNTAINS OF A STILL NIGHT AND BE TOUCHED BY THE FIRST OF THESE SMALL SILENT MESSENGERS FROM THE SKY IS A MEMORABLE EXPERIENCE,"who was standing in the waiting room, and who was introduced into Dong Hua's room as soon as the count had left. The Count's sad face was lubed by a faint smile as he noticed the portfolio which the receiver general held in his hand.",0.15560403699987546,5.258026133000158,0.43853130999991663,5.85216147999995,0.008928777460579004,0.3017128997977396,0.025163540432364063,0.33580521769068267,1
113,mic_fileid_113_doa12_3spk.wav,16.374375,3,"8,59,200",1,59,0.03403888595242082,enhanced_fileid_113_pred59_idx1_loudest.wav,64,5.0,text_fileid_113_doa64_spk1.txt,0.1590909090909091,7,44,HE KNEW THAT IF HE DID SO HE SHOULD NEVER RISE AGAIN HE WAS OVERCOME BY FATIGUE AND THE WEIGHT OF THE DARKNESS WOULD AS WITH THE DEAD WOMAN HAVE HELD HIM TO THE GROUND AND THE ICE GLUED HIM ALIVE TO THE EARTH,"He knew that if he did so, he should never rise again. With overcome by fatigue and the wake of the darkness wood, and with the dead woman that held him to the ground, and the ice loaded him alive to the earth.",0.13245617699999457,4.694942819000062,0.4390743660001135,5.26647336200017,0.008089235589144293,0.2867250089850795,0.026814725203258963,0.3216289697774828,1
114,mic_fileid_114_doa42_3spk.wav,17.02575,3,"0,38,42",1,38,0.02585047525179679,enhanced_fileid_114_pred38_idx1_loudest.wav,273,125.0,text_fileid_114_doa273_spk1.txt,1.121212121212121,37,33,I SAW AS IT FELL ACROSS MY BABY THE SHADOW OF THE VEIL WITHIN THE VEIL WAS HE BORN SAID I AND THERE WITHIN SHALL HE LIVE A NEGRO AND A NEGRO'S SON,"The cottage in the new forest was held by, and eventually made over to, who became a very steady character. And at the course of time, married a young girl from Ireland, and had a house full of young Gypsies.",0.14645306500005972,5.063289835000205,0.43400245399993764,5.6437453540002025,0.008601856893238755,0.2973901199653587,0.02549094483355727,0.3314829216921547,1
115,mic_fileid_115_doa10_3spk.wav,15.9635,3,"8,126,198",0,8,0.035132808597969765,enhanced_fileid_115_pred8_idx0_loudest.wav,201,167.0,text_fileid_115_doa201_spk1.txt,1.0263157894736843,39,38,I CANNOT STAND I SAID THERE IS SOMETHING GONE IN MY LEG AND I FEEL BLOOD RUNNING DOWN INTO MY BOOT HE KNELT AND ROLLED DOWN THE LEG OF MY STOCKING BUT THOUGH HE ONLY MOVED MY FOOT,"It was a difficult and tedious work to make a long-towned hunter dry and comfortable, and was often very imperfectly done. Of course, such things were not practiced by those who had game cavers and steadgroves and plantate well-trained sermons.",0.14093343800004732,4.632587584000021,0.502222207999921,5.275743229999989,0.008828479844648561,0.29019873987534195,0.03146065762520256,0.330487877345193,1
116,mic_fileid_116_doa41_3spk.wav,15.861125,3,"40,143,178",0,40,0.05469184543338997,enhanced_fileid_116_pred40_idx0_loudest.wav,41,1.0,text_fileid_116_doa41_spk1.txt,0.03125,1,32,UPON CLOSER OBSERVATION I SAW AS WE PASSED THEM THAT THE BUILDINGS WERE DESERTED AND WHILE NOT GREATLY DECAYED HAD THE APPEARANCE OF NOT HAVING BEEN TENANTED FOR YEARS POSSIBLY FOR AGES,"Upon closer observation, I saw as we passed them that the buildings were deserted, and while not greatly decayed, had the appearance of not having been tented for years, possibly for ages.",0.14734054500013372,4.528431689999934,0.36977728700003354,5.045549522000101,0.009289413266721858,0.28550507545964954,0.023313433757065374,0.3181079224834368,1
117,mic_fileid_117_doa283_3spk.wav,15.798125,3,"0,10,328",2,328,0.06719271975610218,enhanced_fileid_117_pred328_idx2_loudest.wav,326,2.0,text_fileid_117_doa326_spk1.txt,0.09090909090909091,4,44,NEW PROPOSALS WERE ACCORDINGLY MADE FOR AN OFFENSIVE AND DEFENSIVE ALLIANCE WITHOUT ANY SUGGESTION OF A UNION COUPLED WITH THE CONDITION THAT BOTH STATES SHOULD BIND THEMSELVES NOT TO ALLOW THE PRESENCE WITHIN THEIR BOUNDARIES OF AVOWED ENEMIES OF THE OTHER IN OTHER WORDS,"New proposals were accordingly made for an offensive and defensive alliance without any suggestion of a union, coupled with a condition that both states should by themselves not to allow the presence within their boundaries of the found enemies of the other. In other words...",0.14073369599987018,4.501003460999982,0.43536185699986163,5.077099013999714,0.008908253099647595,0.28490744699133486,0.027557818222090382,0.3213735183130728,1
118,mic_fileid_118_doa22_3spk.wav,15.715,3,"23,206,349",1,206,0.0452985068330277,enhanced_fileid_118_pred206_idx1_loudest.wav,209,3.0,text_fileid_118_doa209_spk1.txt,0.3125,10,32,THE TROOPS SIFTING THROUGH THE FOREST WERE SULLEN IN THE YOUTH'S COMPANY ONCE A MAN'S LAUGH RANG OUT A DOZEN SOLDIERS TURNED THEIR FACES QUICKLY TOWARD HIM AND FROWNED WITH VAGUE DISPLEASURE,The troops sifting through the forest was fallen. And the youth of the company once amends laughing out. A dozen soldiers turned their faces quickly toward him and frowned with vague displeasure.,0.138839217000168,4.494031253999765,0.36868130300013036,5.001551774000063,0.008834821317223544,0.28597080839960326,0.023460471078595634,0.3182661007954224,1
119,mic_fileid_119_doa74_3spk.wav,16.526,3,"70,90,320",2,320,0.03236473204487247,enhanced_fileid_119_pred320_idx2_loudest.wav,313,7.0,text_fileid_119_doa313_spk1.txt,0.5116279069767442,22,43,SETTLING SILENTLY IN THE DRY MOUNTAIN AIR OR MASSED IN FLAKES SOFT AND DOWNY TO LIE OUT ALONE IN THE MOUNTAINS OF A STILL NIGHT AND BE TOUCHED BY THE FIRST OF THESE SMALL SILENT MESSENGERS FROM THE SKY IS A MEMORABLE EXPERIENCE,"Firling the silo ring in the dry mountain air, when the rafting flanks soften down, collide out the low in the mountains of a skirmish, and the tax for the first of these small, silent messages from the skies is a memorable experience.",0.1334404369999902,4.8196568539997315,0.4731756230000883,5.42627291399981,0.008074575638387402,0.2916408600992213,0.028632193089682217,0.32834762882729096,1
120,mic_fileid_120_doa2_3spk.wav,17.042,3,"8,63,107",0,8,0.02335030141859223,enhanced_fileid_120_pred8_idx0_loudest.wav,257,111.0,text_fileid_120_doa257_spk1.txt,0.9354838709677419,29,31,IN THE MOST POLITE MANNER TO APPOINT A FRIEND WITH WHOM HE CAPTAIN M M MIGHT COMMUNICATE AND DESIRED THAT THE MEETING MIGHT TAKE PLACE WITH AS LITTLE DELAY AS POSSIBLE,"Okay, all the adults are going to allow you to look past, recall, recollect, and suffocate if either of them are in the filthy yet happy name.",0.14740765700003067,5.034322824000128,0.3138942670000233,5.495624748000182,0.008649668876894182,0.29540680812112,0.018418863220280676,0.3224753402182949,1
121,mic_fileid_121_doa6_3spk.wav,15.450375,3,"5,134,183",0,5,0.06432815865783185,enhanced_fileid_121_pred5_idx0_loudest.wav,6,1.0,text_fileid_121_doa6_spk1.txt,0.1111111111111111,3,27,THAN ALL THE REST LEOPOLD WAS EVER PRESENT TO HIM AND WHILE HE STROVE TO AVOID ABSORPTION IN A PERSONAL INTEREST HOWEVER JUSTIFIABLE IT WAS OF NECESSITY,"and all the rest. Leopold was ever present to him, and while he stroked to avoid absorption in a personal interest, however, justifiable, it was a necessity.",0.1401432699999532,4.567987375000257,0.3705278530001124,5.078658498000323,0.009070541653516707,0.29565543716578124,0.023981803224848094,0.328707782044146,1
122,mic_fileid_122_doa14_3spk.wav,17.052375,3,"15,149,313",0,15,0.04075933695883834,enhanced_fileid_122_pred15_idx0_loudest.wav,302,73.0,text_fileid_122_doa302_spk1.txt,1.3,39,30,AFTER SOME MOMENTS CONSIDERATION YOU MAY BE ABLE TO GUESS AT YOUR BROTHER'S INTENTIONS FROM ALL THIS BUT I AM SURE I CANNOT BUT IS NOT YOUR FATHER UNCOMFORTABLE ABOUT,"The realization of what he was, of his foulness and degradation, seemed just to have come to him fully. You made me what I am, and then you sent me away. You let me come back, and now you put me out.",0.1440291020001041,5.084616331999996,0.4550673070000357,5.683712741000136,0.008446278128419301,0.2981764318460036,0.026686447313059657,0.33330915728748256,1
