fileid,chunk_count,chunk_indices,chunk_mic_files,audio_duration_sec,gt_dominant_spk1_doa,gt_text_file,wer,edit_distance,ref_words,reference,hypothesis,selected_doas,mean_selected_doa_error_deg
91,4,"1,2,3,4",mic_fileid_91_doa65_3spk_1.wav|mic_fileid_91_doa65_3spk_2.wav|mic_fileid_91_doa65_3spk_3.wav|mic_fileid_91_doa65_3spk_4.wav,16.0,144,text_fileid_91_doa144_spk1.txt,0.37037037037037035,10,27,SATISFACTORY INDEED VERY SATISFACTORY BARBARA IVANOVNA TOLD ME TODAY HOW OUR TROOPS ARE DISTINGUISHING THEMSELVES IT CERTAINLY DOES THEM CREDIT AND THE PEOPLE TOO ARE QUITE MUTINOUS,"That is not true indeed. Very sad it's not true. Ibrahivanofa told me today how our troops are distinctioning themselves. It certainly does them credit, and the people too are quite mutinous.","138,146,143,142",2.75
92,5,"1,2,3,4,5",mic_fileid_92_doa79_3spk_1.wav|mic_fileid_92_doa79_3spk_2.wav|mic_fileid_92_doa79_3spk_3.wav|mic_fileid_92_doa79_3spk_4.wav|mic_fileid_92_doa79_3spk_5.wav,20.0,256,text_fileid_92_doa256_spk1.txt,0.95,38,40,THE BREEZE THE SHINING SOLITUDE OF FIELDS OR WOODS HOWEVER MUCH ONE LOVES A WOMAN WHATEVER CONFIDENCE ONE MAY HAVE IN HER WHATEVER CERTAINTY HER PAST MAY OFFER US AS TO HER FUTURE ONE IS ALWAYS MORE OR LESS JEALOUS,"Whatever she knows, she should be homeless. Ihnencfred даже. Co shipping is very沒有.","66,241,239,241,92",76.2
93,4,"1,2,3,4",mic_fileid_93_doa3_3spk_1.wav|mic_fileid_93_doa3_3spk_2.wav|mic_fileid_93_doa3_3spk_3.wav|mic_fileid_93_doa3_3spk_4.wav,16.0,3,text_fileid_93_doa3_spk1.txt,0.22580645161290322,7,31,SUCH AS HAVE GUIDED MEN ALONG THE PATH OF TRUTH SINCE THE BEGINNING OF THE WORLD FROM WHAT HO SHE BUMPS TO ICH DIEN AND MORE THE THOUGHT OCCURRED TO ME,Such as have guided men along the path of truth. such the beginning of the world from... Wahoo! she bobs to itching and roar. The thought occurred to me.,"1,1,3,2",1.25
94,4,"1,2,3,4",mic_fileid_94_doa101_3spk_1.wav|mic_fileid_94_doa101_3spk_2.wav|mic_fileid_94_doa101_3spk_3.wav|mic_fileid_94_doa101_3spk_4.wav,16.0,101,text_fileid_94_doa101_spk1.txt,0.2222222222222222,8,36,IN HER YOUTH SHE HAD DECLINED THE ADDRESSES OF A GENTLEMAN WHO HAD THE RECOMMENDATIONS OF GOOD CHARACTER AND CONNECTIONS AND POSITION IN LIFE OF EVERYTHING IN FACT EXCEPT THE SUBTLE POWER OF TOUCHING HER HEART,"In her hands, she has declined the address as of a gentleman who had the recommendation. and good character, and connections and position of life. But everything, in fact, except the subtle power of touching her heart.","101,99,101,2",25.25
95,4,"1,2,3,4",mic_fileid_95_doa59_3spk_1.wav|mic_fileid_95_doa59_3spk_2.wav|mic_fileid_95_doa59_3spk_3.wav|mic_fileid_95_doa59_3spk_4.wav,16.0,125,text_fileid_95_doa125_spk1.txt,0.8,24,30,WHICH A SAD EXPERIENCE HAS BROUGHT US IS WORTH OUR OWN PERSONAL SHARE OF PAIN SURELY IT IS NOT POSSIBLE TO FEEL OTHERWISE ANY MORE THAN IT WOULD BE POSSIBLE,"Bye! Come to prayer, come to prayer. There's no going but God. otherwise, any more than it would be possible. Thank you.","140,219,120,51",47.0
96,5,"1,2,3,4,5",mic_fileid_96_doa99_3spk_1.wav|mic_fileid_96_doa99_3spk_2.wav|mic_fileid_96_doa99_3spk_3.wav|mic_fileid_96_doa99_3spk_4.wav|mic_fileid_96_doa99_3spk_5.wav,20.0,160,text_fileid_96_doa160_spk1.txt,0.5652173913043478,26,46,THEN WITH HIS OTHER HAND ON HIS WRIST HE BENT THE FOREARM SHARPLY AND FELT THE BICEPS AS ROUND AND HARD AS A CRICKET BALL SPRING UP UNDER HIS FINGERS FEEL THAT SAID HE THE PUBLICAN AND HORSE BREAKER FELT IT WITH AN AIR OF REVERENCE,"Then with his other hand on his wrist, he bent the forearm sharply. It felt the biceps as well as the cricket ball springed out. up under his fingers. Feel that, Sammy. And I'll bring it all around to a session of our goods and moved into our new tent.","157,158,164,97,32",40.0
97,4,"1,2,3,4",mic_fileid_97_doa115_3spk_1.wav|mic_fileid_97_doa115_3spk_2.wav|mic_fileid_97_doa115_3spk_3.wav|mic_fileid_97_doa115_3spk_4.wav,16.0,251,text_fileid_97_doa251_spk1.txt,1.1578947368421053,44,38,HE CONTINUED TO FOLLOW THE PATH TO THE GLADE BUT TO HIS GREAT SURPRISE CARLINI ARRIVED ALMOST AS SOON AS HIMSELF LET US DRAW LOTS LET US DRAW LOTS CRIED ALL THE BRIGANDS WHEN THEY SAW THE CHIEF,"Let us draw lots. Let us draw lots. Cry out the brigands when they saw... When you see a lot ofoli predators, слab, its there? yes it does, it's there! it zasadly effects humans it más tenacious it's a carrying animal here hereoso ituis thatπο","2,126,245,330",80.25
98,4,"1,2,3,4",mic_fileid_98_doa46_3spk_1.wav|mic_fileid_98_doa46_3spk_2.wav|mic_fileid_98_doa46_3spk_3.wav|mic_fileid_98_doa46_3spk_4.wav,16.0,128,text_fileid_98_doa128_spk1.txt,0.7209302325581395,31,43,THAT OLD NUISANCE OF A RACHEL LYNDE WAS HERE AGAIN TODAY PESTERING ME FOR A SUBSCRIPTION TOWARDS BUYING A CARPET FOR THE VESTRY ROOM SAID MISTER HARRISON WRATHFULLY I DETEST THAT WOMAN MORE THAN ANYBODY I KNOW SHE CAN PUT A WHOLE SERMON,"Well, you're some of a Rachel Lindwits here again today. Have a strange day. He would destroy the crab. Mr. Harris, wrathfully, I'd like to test that word more than anybody. of Phantom Mountain, I believe.","128,41,126,45",43.0
99,5,"1,2,3,4,5",mic_fileid_99_doa33_3spk_1.wav|mic_fileid_99_doa33_3spk_2.wav|mic_fileid_99_doa33_3spk_3.wav|mic_fileid_99_doa33_3spk_4.wav|mic_fileid_99_doa33_3spk_5.wav,20.0,247,text_fileid_99_doa247_spk1.txt,0.8809523809523809,37,42,ONLY EXISTS THE HONOUR OF THE STATE WHICH IS HIS HONOUR HE DOES NOT LOOK UPON HIMSELF AS A FREE AGENT WORKING OUT HIS OWN PERSONAL SALVATION SPIRITUAL AGONIZING IS UNKNOWN TO HIM HE HAS A SENSE OF CALM TRUST IN FATE,"Only exists the honor of this state, which is his honor. You're not supposed to do that. No, I'm not supposed to get there. so the Prada will validate them! Explain the gag lines next climb now? It has a sense of God-willing, true love, and faith. Thank you.","240,237,236,238,186",19.6
100,4,"1,2,3,4",mic_fileid_100_doa58_3spk_1.wav|mic_fileid_100_doa58_3spk_2.wav|mic_fileid_100_doa58_3spk_3.wav|mic_fileid_100_doa58_3spk_4.wav,16.0,258,text_fileid_100_doa258_spk1.txt,1.0,41,41,BUT CONTINUED TO SING HER RHYMES AS BEFORE FOR HOWEVER MUCH GROWN PEOPLE MIGHT LAUGH AT HER THE CHILDREN SEEMED TO ENJOY THEM VERY MUCH AND NOT ONE OF THEM WAS TOO PEEVISH TO BE QUIETED AND SOOTHED BY HER VERSES,"Well never forgot to put this on oh no So, we can't probably not keep this word about going away. get into trouble so we had better take his side. Thank you, Larry.","120,59,57,136",145.0
101,4,"1,2,3,4",mic_fileid_101_doa238_3spk_1.wav|mic_fileid_101_doa238_3spk_2.wav|mic_fileid_101_doa238_3spk_3.wav|mic_fileid_101_doa238_3spk_4.wav,16.0,272,text_fileid_101_doa272_spk1.txt,0.9666666666666667,29,30,MISTER BERYL SUCH A KIND GENTLEMAN MA'AM SAID YOU WOULD HELP ME I WILL SO LONG AS YOU ARE HONEST JERRY THRUST HIS TONGUE IN HIS CHEEK BUT JULIUS ANSWERED,Thank you. styles a solid Analysis,"89,39,239,327",98.0
102,4,"1,2,3,4",mic_fileid_102_doa204_3spk_1.wav|mic_fileid_102_doa204_3spk_2.wav|mic_fileid_102_doa204_3spk_3.wav|mic_fileid_102_doa204_3spk_4.wav,16.0,324,text_fileid_102_doa324_spk1.txt,0.9487179487179487,37,39,THESE CONSIDERATIONS RELATE TO THE FIRST TWO CAUSES OF FAILURE IN A REPRESENTATIVE GOVERNMENT THE THIRD IS WHEN THE PEOPLE WANT EITHER THE WILL OR THE CAPACITY TO FULFILL THE PART WHICH BELONGS TO THEM IN A REPRESENTATIVE CONSTITUTION,Line by two or three others. And we all make measurements together.,"209,210,332,331",61.0
103,4,"1,2,3,4",mic_fileid_103_doa27_3spk_1.wav|mic_fileid_103_doa27_3spk_2.wav|mic_fileid_103_doa27_3spk_3.wav|mic_fileid_103_doa27_3spk_4.wav,16.0,59,text_fileid_103_doa59_spk1.txt,0.625,25,40,THEN I REALLY DO THINK THAT HE HAS UNCOMMON BAD TASTE SAID LUCY WITH A REALITY IN HER VOICE DIFFERING MUCH FROM THE TONE OF BANTER SHE HAD HITHERTO USED WHAT LUCY SAID HER SISTER IN LAW LOOKING AT HER,"Then I really do think that he has a problem with the taste, so please... with the reality in our voice than very much from the tone of answers you hear. Who do you used? Ah Lucy! Seven sisters!","54,58,54,59",2.75
104,5,"1,2,3,4,5",mic_fileid_104_doa10_3spk_1.wav|mic_fileid_104_doa10_3spk_2.wav|mic_fileid_104_doa10_3spk_3.wav|mic_fileid_104_doa10_3spk_4.wav|mic_fileid_104_doa10_3spk_5.wav,20.0,301,text_fileid_104_doa301_spk1.txt,1.0434782608695652,48,46,BUT IN THE YARD THERE WAS A LIGHT FROM THE FIRE AT LITTLE MYTISHCHI A MILE AND A HALF AWAY AND THROUGH THE NIGHT CAME THE NOISE OF PEOPLE SHOUTING AT A TAVERN MAMONOV'S COSSACKS HAD SET UP ACROSS THE STREET AND THE ADJUTANT'S UNCEASING MOANS,and have as its aim the altering of teaching its human. faith that we've got. He did not work by the German law. The freedom is suffering so much from her dear that she says it's always gave way before inspiration. He would not have put a lot of,"7,5,175,9,87",94.0
105,4,"1,2,3,4",mic_fileid_105_doa7_3spk_1.wav|mic_fileid_105_doa7_3spk_2.wav|mic_fileid_105_doa7_3spk_3.wav|mic_fileid_105_doa7_3spk_4.wav,16.0,134,text_fileid_105_doa134_spk1.txt,0.24390243902439024,10,41,I DIDN'T SUPPOSE THERE WAS ANY ONE WHO DIDN'T KNOW THOSE SHARP SQUEAKY VOICES THEY RATHER GET ON MY NERVES WHAT ANYBODY WANTS TO SQUEAK LIKE THAT FOR WHEN THEY CAN SING AS ROSEBREAST CAN IS MORE THAN I CAN UNDERSTAND,"I didn't suppose there was anyone who didn't know those sharp, squeaky- What is it? I'd rather get on my nerves. When anybody wants to... the squeak like that for when they can sing as rose breath can is more than... I can understand.","133,131,132,136",2.0
106,4,"1,2,3,4",mic_fileid_106_doa79_3spk_1.wav|mic_fileid_106_doa79_3spk_2.wav|mic_fileid_106_doa79_3spk_3.wav|mic_fileid_106_doa79_3spk_4.wav,16.0,130,text_fileid_106_doa130_spk1.txt,0.6153846153846154,24,39,A SINGLE GLANCE AT THE LANDSCAPE WAS SUFFICIENT TO SHOW ME HOW WIDELY DIFFERENT IT WAS FROM ANYTHING I HAD EVER BEHELD AT NIGHT IT BLEW A GALE OF WIND AND HEAVY SQUALLS FROM THE MOUNTAINS SWEPT PAST US,"A single glance at the landscape was sufficient to show me how widely different made of, explains whether he has good manners. whether he's clever and all that. I","131,81,76,83",37.75
107,4,"1,2,3,4",mic_fileid_107_doa58_3spk_1.wav|mic_fileid_107_doa58_3spk_2.wav|mic_fileid_107_doa58_3spk_3.wav|mic_fileid_107_doa58_3spk_4.wav,16.0,58,text_fileid_107_doa58_spk1.txt,0.5757575757575758,19,33,WHY WHAT'S UP SAID PHILIP SURPRISED AT WILLIAM'S UNUSUAL MANNER AND AT THE SAME TIME RATHER GRATIFIED TO FIND A REFLECTION OF HIS OWN FEELINGS ABOUT KINRAID COULSON'S FACE WAS PALE WITH ANGER,Why? What's up? said Philip. Surprise that Williams... unusual matter and at the same time rather gratified by a reflection of his There shall no evil befall thee. Neither shall any evil befall thee. Thank you.,"63,57,120,120",32.5
108,4,"1,2,3,4",mic_fileid_108_doa63_3spk_1.wav|mic_fileid_108_doa63_3spk_2.wav|mic_fileid_108_doa63_3spk_3.wav|mic_fileid_108_doa63_3spk_4.wav,16.0,63,text_fileid_108_doa63_spk1.txt,0.5625,18,32,A REPRESENTATIVE ASSEMBLY DRAWN FROM AMONG THEMSELVES WOULD SIMPLY REFLECT THEIR OWN TURBULENT INSUBORDINATION IT WOULD REFUSE ITS AUTHORITY TO ALL PROCEEDINGS WHICH WOULD IMPOSE ON THEIR SAVAGE INDEPENDENCE ANY IMPROVING RESTRAINT,"A representative assembly drawn from among themselves would simply reply I'm saying hang over you always. Shit, cover you always. refuses authority to all proceedings which were imposed on their savagery. any improvement or restraint.","60,196,58,62",35.5
109,4,"1,2,3,4",mic_fileid_109_doa236_3spk_1.wav|mic_fileid_109_doa236_3spk_2.wav|mic_fileid_109_doa236_3spk_3.wav|mic_fileid_109_doa236_3spk_4.wav,16.0,236,text_fileid_109_doa236_spk1.txt,0.696969696969697,23,33,NOR ARE THEY EVER RECALLED WITHOUT BRINGING BACK WITH THEM MYRIADS OF SLUMBERING FEELINGS AND HALF FORGOTTEN IMAGES WE HEAR THE SWEET LOW VOICE OF THE MOTHER SINGING SOFT LULLABIES TO HER DARLING,Gr winding adventure candy burning feelings and have forgotten images. We hear the sweet low voice of the mother singing soft lullabies to her just tell them I'm about to lose my soul.,"4,238,239,358",63.75
110,3,"1,2,3",mic_fileid_110_doa31_3spk_1.wav|mic_fileid_110_doa31_3spk_2.wav|mic_fileid_110_doa31_3spk_3.wav,12.0,265,text_fileid_110_doa265_spk1.txt,1.0740740740740742,29,27,ENOW OF PATRIOTS STILL REMAINED TO KEEP UP THE ILL HUMOR OF THE HOUSE AND MEN NEEDED BUT LITTLE INSTRUCTION OR RHETORIC TO RECOMMEND TO THEM PRACTICES,"And among them was one which had to try to find the boy's father's... If you're on a special train in two hours, your time will be in the victim. Bye.","28,115,24",130.66666666666666
111,5,"1,2,3,4,5",mic_fileid_111_doa38_3spk_1.wav|mic_fileid_111_doa38_3spk_2.wav|mic_fileid_111_doa38_3spk_3.wav|mic_fileid_111_doa38_3spk_4.wav|mic_fileid_111_doa38_3spk_5.wav,20.0,186,text_fileid_111_doa186_spk1.txt,0.3617021276595745,17,47,BUT THE DAY DID NOT TURN OUT SO BADLY AFTER ALL AS WE WORKED OUR WAY OUT OF THIS UNCERTAINTY AND FOUND OUT WHAT WAS BEHIND THE PITCH DARK CLOUDS DURING THE FORENOON THE SUN CAME THROUGH AND THRUST ASIDE THE FOG FOR A WHILE AND THERE,"But the day did not turn out so badly after all. As we worked our way out of this uncertainty, we found out what was behind it. It from that opening door came a breath of fragrance which diffuses... through and press aside the fog for a while. And there. Thank you.","187,179,36,190,182",33.2
112,5,"1,2,3,4,5",mic_fileid_112_doa172_3spk_1.wav|mic_fileid_112_doa172_3spk_2.wav|mic_fileid_112_doa172_3spk_3.wav|mic_fileid_112_doa172_3spk_4.wav|mic_fileid_112_doa172_3spk_5.wav,20.0,172,text_fileid_112_doa172_spk1.txt,0.13953488372093023,6,43,SETTLING SILENTLY IN THE DRY MOUNTAIN AIR OR MASSED IN FLAKES SOFT AND DOWNY TO LIE OUT ALONE IN THE MOUNTAINS OF A STILL NIGHT AND BE TOUCHED BY THE FIRST OF THESE SMALL SILENT MESSENGERS FROM THE SKY IS A MEMORABLE EXPERIENCE,"Settling silently in the dry mountain air, or masked in play. soft and dark to lie out alone in the mountains of a sea. Don't lie and be touched by the first of these small silent messengers from the sky is a memorable experience.","175,173,175,175,19",32.6
113,5,"1,2,3,4,5",mic_fileid_113_doa12_3spk_1.wav|mic_fileid_113_doa12_3spk_2.wav|mic_fileid_113_doa12_3spk_3.wav|mic_fileid_113_doa12_3spk_4.wav|mic_fileid_113_doa12_3spk_5.wav,20.0,64,text_fileid_113_doa64_spk1.txt,0.7954545454545454,35,44,HE KNEW THAT IF HE DID SO HE SHOULD NEVER RISE AGAIN HE WAS OVERCOME BY FATIGUE AND THE WEIGHT OF THE DARKNESS WOULD AS WITH THE DEAD WOMAN HAVE HELD HIM TO THE GROUND AND THE ICE GLUED HIM ALIVE TO THE EARTH,"He knew that if he did so, he should never ride the dad. At 9am, the drive thermometer stood at 34 degrees in the shi- It rose steadily until at 1pm it stood in 15 degrees. Yeah, the ice, a little bit of a lot to be honest.","56,10,13,60,144",39.4
114,5,"1,2,3,4,5",mic_fileid_114_doa42_3spk_1.wav|mic_fileid_114_doa42_3spk_2.wav|mic_fileid_114_doa42_3spk_3.wav|mic_fileid_114_doa42_3spk_4.wav|mic_fileid_114_doa42_3spk_5.wav,20.0,273,text_fileid_114_doa273_spk1.txt,1.0606060606060606,35,33,I SAW AS IT FELL ACROSS MY BABY THE SHADOW OF THE VEIL WITHIN THE VEIL WAS HE BORN SAID I AND THERE WITHIN SHALL HE LIVE A NEGRO AND A NEGRO'S SON,"The cottage in the new forest was held by, and eventually made Perhaps the jacqueline, and with this satisfied face is... And in the course of time, marry the young girl from Ireland. And add a powerful jack-a-t'-face","42,355,42,38,20",114.4
115,4,"1,2,3,4",mic_fileid_115_doa10_3spk_1.wav|mic_fileid_115_doa10_3spk_2.wav|mic_fileid_115_doa10_3spk_3.wav|mic_fileid_115_doa10_3spk_4.wav,16.0,201,text_fileid_115_doa201_spk1.txt,0.7105263157894737,27,38,I CANNOT STAND I SAID THERE IS SOMETHING GONE IN MY LEG AND I FEEL BLOOD RUNNING DOWN INTO MY BOOT HE KNELT AND ROLLED DOWN THE LEG OF MY STOCKING BUT THOUGH HE ONLY MOVED MY FOOT,"We'll go down into his selector of glory and self-sacrifice. in my leg and I feel blood running down into my boot. Of course, such things were not practiced by those red gamekeepers. Steadigromes, and plantae of well-trained sermons.","126,200,7,10",102.75
116,4,"1,2,3,4",mic_fileid_116_doa41_3spk_1.wav|mic_fileid_116_doa41_3spk_2.wav|mic_fileid_116_doa41_3spk_3.wav|mic_fileid_116_doa41_3spk_4.wav,16.0,41,text_fileid_116_doa41_spk1.txt,0.34375,11,32,UPON CLOSER OBSERVATION I SAW AS WE PASSED THEM THAT THE BUILDINGS WERE DESERTED AND WHILE NOT GREATLY DECAYED HAD THE APPEARANCE OF NOT HAVING BEEN TENANTED FOR YEARS POSSIBLY FOR AGES,"Upon closer observation, I saw as we passed them, the buildings were deserted and while that greatly decayed had they appearance of not having been tainted for years, possibly. Well, don't we fight like a devil?","42,41,40,144",26.25
117,4,"1,2,3,4",mic_fileid_117_doa283_3spk_1.wav|mic_fileid_117_doa283_3spk_2.wav|mic_fileid_117_doa283_3spk_3.wav|mic_fileid_117_doa283_3spk_4.wav,16.0,326,text_fileid_117_doa326_spk1.txt,0.9545454545454546,42,44,NEW PROPOSALS WERE ACCORDINGLY MADE FOR AN OFFENSIVE AND DEFENSIVE ALLIANCE WITHOUT ANY SUGGESTION OF A UNION COUPLED WITH THE CONDITION THAT BOTH STATES SHOULD BIND THEMSELVES NOT TO ALLOW THE PRESENCE WITHIN THEIR BOUNDARIES OF AVOWED ENEMIES OF THE OTHER IN OTHER WORDS,"And I evolved at 65, decided to favorably honor... resolution, value for a woman's suffrage community in the house. After all, 10 more measures and being dispossed. She's like a meanie.","1,0,359,3",34.75
118,4,"1,2,3,4",mic_fileid_118_doa22_3spk_1.wav|mic_fileid_118_doa22_3spk_2.wav|mic_fileid_118_doa22_3spk_3.wav|mic_fileid_118_doa22_3spk_4.wav,16.0,209,text_fileid_118_doa209_spk1.txt,0.53125,17,32,THE TROOPS SIFTING THROUGH THE FOREST WERE SULLEN IN THE YOUTH'S COMPANY ONCE A MAN'S LAUGH RANG OUT A DOZEN SOLDIERS TURNED THEIR FACES QUICKLY TOWARD HIM AND FROWNED WITH VAGUE DISPLEASURE,"The truth sifting through the stars, the balance. And the unit company wants a man ploughing out. The dozen soldiers turning their faces quickly toward him and frowned with vague... I'm glad to hear it.","204,206,206,29",47.75
119,4,"1,2,3,4",mic_fileid_119_doa74_3spk_1.wav|mic_fileid_119_doa74_3spk_2.wav|mic_fileid_119_doa74_3spk_3.wav|mic_fileid_119_doa74_3spk_4.wav,16.0,313,text_fileid_119_doa313_spk1.txt,0.5581395348837209,24,43,SETTLING SILENTLY IN THE DRY MOUNTAIN AIR OR MASSED IN FLAKES SOFT AND DOWNY TO LIE OUT ALONE IN THE MOUNTAINS OF A STILL NIGHT AND BE TOUCHED BY THE FIRST OF THESE SMALL SILENT MESSENGERS FROM THE SKY IS A MEMORABLE EXPERIENCE,They're rolling the styrofoam and drying out in there. One more has to be clear. soft and dairy. To my eyes alone in the mountains of the sea. and be touched by the first of these small silent messengers for the sky is an admirable experience.,"321,316,313,312",3.0
120,5,"1,2,3,4,5",mic_fileid_120_doa2_3spk_1.wav|mic_fileid_120_doa2_3spk_2.wav|mic_fileid_120_doa2_3spk_3.wav|mic_fileid_120_doa2_3spk_4.wav|mic_fileid_120_doa2_3spk_5.wav,20.0,257,text_fileid_120_doa257_spk1.txt,0.967741935483871,30,31,IN THE MOST POLITE MANNER TO APPOINT A FRIEND WITH WHOM HE CAPTAIN M M MIGHT COMMUNICATE AND DESIRED THAT THE MEETING MIGHT TAKE PLACE WITH AS LITTLE DELAY AS POSSIBLE,"So, come now! The 11th, how they feel like so many small pounds. and shut four orphans that are in these two cavities. Thank you. Thank you.","19,310,302,93,188",90.6
121,4,"1,2,3,4",mic_fileid_121_doa6_3spk_1.wav|mic_fileid_121_doa6_3spk_2.wav|mic_fileid_121_doa6_3spk_3.wav|mic_fileid_121_doa6_3spk_4.wav,16.0,6,text_fileid_121_doa6_spk1.txt,0.2222222222222222,6,27,THAN ALL THE REST LEOPOLD WAS EVER PRESENT TO HIM AND WHILE HE STROVE TO AVOID ABSORPTION IN A PERSONAL INTEREST HOWEVER JUSTIFIABLE IT WAS OF NECESSITY,"and all the rest, Leopold was ever present to him. and while I struggle to avoid absorption in a personal interest however, justifiable. It was a mis- Sesame.","5,5,6,4",1.0
122,4,"1,2,3,4",mic_fileid_122_doa14_3spk_1.wav|mic_fileid_122_doa14_3spk_2.wav|mic_fileid_122_doa14_3spk_3.wav|mic_fileid_122_doa14_3spk_4.wav,16.0,302,text_fileid_122_doa302_spk1.txt,1.1333333333333333,34,30,AFTER SOME MOMENTS CONSIDERATION YOU MAY BE ABLE TO GUESS AT YOUR BROTHER'S INTENTIONS FROM ALL THIS BUT I AM SURE I CANNOT BUT IS NOT YOUR FATHER UNCOMFORTABLE ABOUT,"The realization of what he was, of his foulness and dignity, seemed just to have come to an employee. You may It was I am and then you sent me away you Let me come back now.","14,14,14,13",71.75
123,4,"1,2,3,4",mic_fileid_123_doa174_3spk_1.wav|mic_fileid_123_doa174_3spk_2.wav|mic_fileid_123_doa174_3spk_3.wav|mic_fileid_123_doa174_3spk_4.wav,16.0,323,text_fileid_123_doa323_spk1.txt,0.6176470588235294,21,34,IT IS THE STORY OF SARAMA IN THE RIG VEDA AND WAS WRITTEN IN SANSCRIT UNDER THE SHADOW OF THE HIMALAYAS CENTURIES BEFORE HOMER SUCH UNIFORMITY POINTS NOT TO A COMMON SOURCE IN HISTORY,"That's the camera, that's the workbook. And now let's take a look. and then Sanskrit under the shadow of the Amalaya centuries. before hope. Such uniformity points not to a the cloud explorers at","334,324,320,323",3.75
124,5,"1,2,3,4,5",mic_fileid_124_doa62_3spk_1.wav|mic_fileid_124_doa62_3spk_2.wav|mic_fileid_124_doa62_3spk_3.wav|mic_fileid_124_doa62_3spk_4.wav|mic_fileid_124_doa62_3spk_5.wav,20.0,251,text_fileid_124_doa251_spk1.txt,0.9736842105263158,37,38,AND THEN WITHOUT FAIL YOU SHALL HAVE YOUR PUPPETS TO PLAY WITH ALMOST BEFORE THE GNOME HAD FINISHED THE DISAPPOINTED PRINCESS TURNED AWAY AND MARCHED OFF TO HER OWN APARTMENTS WITHOUT DEIGNING TO ANSWER HIM THE GNOME HOWEVER,"And you avenge yourself by refining all of us. It is really... Too bad. She said, pounding like a spoiled child. Bye, Jarro również Shift 마지막 ver, you roll as and we'll be interested to know the reason.","59,59,64,59,187",148.2
125,4,"1,2,3,4",mic_fileid_125_doa76_3spk_1.wav|mic_fileid_125_doa76_3spk_2.wav|mic_fileid_125_doa76_3spk_3.wav|mic_fileid_125_doa76_3spk_4.wav,16.0,303,text_fileid_125_doa303_spk1.txt,1.121212121212121,37,33,THINKING THE WHILE OF THE PREPARATION OF CHRIST'S BODY FOR THE TOMB AND OF HIM WHO SAID INASMUCH AS YE DO IT TO THE LEAST OF MY BRETHREN YE DO IT UNTO ME,"I heard. I mean, I'm having a fix. Well, we've just been... talking about. And what was the excitement you were in just before... He had lost his love. He had so proved himself to be a villain.","343,343,71,345",62.5
126,4,"1,2,3,4",mic_fileid_126_doa119_3spk_1.wav|mic_fileid_126_doa119_3spk_2.wav|mic_fileid_126_doa119_3spk_3.wav|mic_fileid_126_doa119_3spk_4.wav,16.0,119,text_fileid_126_doa119_spk1.txt,0.38461538461538464,15,39,WELL THE WIDOW SAID SHE RECKONED THAT BOYS OUGHT TO BE LET OUT AS WELL AS IN FOR HALF PRICE AND SO SHE LAID DOWN TWO BITS ALLOWING THAT SHE WANTED A FEW MINUTES PRIVATE CONVERSATION WITH HER BUD,"Well, the widow said she reckoned that point up could be let out as well. for half price, it'll start you way down a little bit. She wanted a few minutes by conversation with her bug.","113,113,117,44",22.25
127,5,"1,2,3,4,5",mic_fileid_127_doa151_3spk_1.wav|mic_fileid_127_doa151_3spk_2.wav|mic_fileid_127_doa151_3spk_3.wav|mic_fileid_127_doa151_3spk_4.wav|mic_fileid_127_doa151_3spk_5.wav,20.0,231,text_fileid_127_doa231_spk1.txt,0.9555555555555556,43,45,AND CRAWLING ONWARDS HE PEEPED OVER THE CLIFF AND SAW WILD MAN PICKING HIS BIRDS HE CRAWLED A LITTLE NEARER AND THEN HURLED DOWN A GREAT STONE AND KILLED HIM YORK DECLARED FOR A LONG TIME AFTERWARDS STORMS RAGED AND MUCH RAIN AND SNOW FELL,"with the prospect of being greatly ushered in by Rachel to the Presence of surprise, fun, fortune, mistress, and so greatly ... church, me. My wish however was This information, however, start on to visit them.","357,1,7,146,1",121.4
128,4,"1,2,3,4",mic_fileid_128_doa219_3spk_1.wav|mic_fileid_128_doa219_3spk_2.wav|mic_fileid_128_doa219_3spk_3.wav|mic_fileid_128_doa219_3spk_4.wav,16.0,300,text_fileid_128_doa300_spk1.txt,1.0740740740740742,29,27,AND HER ASTONISHMENT WAS CONSEQUENTLY SO GREAT AS TO OVERCOME AT FIRST THE BOUNDS OF DECORUM AND SHE COULD NOT HELP CRYING OUT ENGAGED TO MISTER COLLINS,This is Project with Right Investments and we're going to disprove it. say a simple word to someone who comes in and can then So put theF10s stackupoles combo together.,"333,212,339,88",77.0
129,4,"1,2,3,4",mic_fileid_129_doa36_3spk_1.wav|mic_fileid_129_doa36_3spk_2.wav|mic_fileid_129_doa36_3spk_3.wav|mic_fileid_129_doa36_3spk_4.wav,16.0,141,text_fileid_129_doa141_spk1.txt,0.2777777777777778,10,36,THE LIKE INCREASE OF THE BILLS WAS OBSERVED IN THE PARISHES OF SAINT BRIDE'S ADJOINING ON ONE SIDE OF HOLBORN PARISH AND IN THE PARISH OF SAINT JAMES CLERKENWELL ADJOINING ON THE OTHER SIDE OF HOLBORN,"The lack increase of the bills was observed in the parishes of St. Braddock, a journey on one side of Holberg Parish. and in the parish of St. James, Clarkinwell. joining on the other side of Hopeburn.","140,139,139,144",2.0
