fileid,chunk_count,chunk_indices,chunk_mic_files,audio_duration_sec,gt_dominant_spk1_doa,gt_text_file,wer,edit_distance,ref_words,reference,hypothesis,selected_doas,selected_doa_error_deg
88,4,"1,2,3,4",mic_fileid_88_doa31_3spk_1.wav|mic_fileid_88_doa31_3spk_2.wav|mic_fileid_88_doa31_3spk_3.wav|mic_fileid_88_doa31_3spk_4.wav,16,122,text_fileid_88_doa122_spk1.txt,0.05405405405405406,2,37,MISS CARLYLE'S EYES SEARCHING HER FACE INQUISITIVELY ALL THE TIME WHY DO YOU WEAR GLASSES BEGAN MISS CORNY ABRUPTLY AS SOON AS THEY WERE INDOORS ANOTHER DEEP FLUSH AND AN IMPERCEPTIBLE HESITATION MY EYES ARE NOT STRONG,"Ms. Carlile's eyes searching her face inquisitively all the time. Why do you wear glasses, began Miss Corny abruptly? as soon as they were indoors. Another deep flush and an imperceptible hesitation. My eyes are not strong.","124,128,122,125",2.75
89,5,"1,2,3,4,5",mic_fileid_89_doa150_3spk_1.wav|mic_fileid_89_doa150_3spk_2.wav|mic_fileid_89_doa150_3spk_3.wav|mic_fileid_89_doa150_3spk_4.wav|mic_fileid_89_doa150_3spk_5.wav,20,226,text_fileid_89_doa226_spk1.txt,0.14583333333333334,7,48,GIRDLES STRINGS AND LOOPS MANY OF THEM BEAUTIFULLY MADE AND ORNAMENTED THE ANCIENT IRISH WORE A TROUSERS WHICH WAS SO TIGHT FITTING AS TO SHOW PERFECTLY THE SHAPE OF THE LIMBS WHEN TERMINATING BELOW THE ANKLES IT WAS HELD DOWN BY A SLENDER STRAP PASSING UNDER THE FOOT,"Gartles, strings and loops, many of them beautifully made an ornament. The ancient Irish were trousers which was so tight fitting is to show perfectly the shape of the limbs. When terminating blue the ankles it was held down by a slender strap passing under the foot.","225,226,225,226,144",16.8
90,4,"1,2,3,4",mic_fileid_90_doa49_3spk_1.wav|mic_fileid_90_doa49_3spk_2.wav|mic_fileid_90_doa49_3spk_3.wav|mic_fileid_90_doa49_3spk_4.wav,16,290,text_fileid_90_doa290_spk1.txt,0.0625,2,32,A REPRESENTATIVE ASSEMBLY DRAWN FROM AMONG THEMSELVES WOULD SIMPLY REFLECT THEIR OWN TURBULENT INSUBORDINATION IT WOULD REFUSE ITS AUTHORITY TO ALL PROCEEDINGS WHICH WOULD IMPOSE ON THEIR SAVAGE INDEPENDENCE ANY IMPROVING RESTRAINT,"A representative assembly drawn from among themselves would simply reflect their own turbulent insubordination. refuse its authority to all proceedings which would impose on their savage independence, any improving restraint.","290,290,290,290",0
91,4,"1,2,3,4",mic_fileid_91_doa65_3spk_1.wav|mic_fileid_91_doa65_3spk_2.wav|mic_fileid_91_doa65_3spk_3.wav|mic_fileid_91_doa65_3spk_4.wav,16,144,text_fileid_91_doa144_spk1.txt,0.1111111111111111,3,27,SATISFACTORY INDEED VERY SATISFACTORY BARBARA IVANOVNA TOLD ME TODAY HOW OUR TROOPS ARE DISTINGUISHING THEMSELVES IT CERTAINLY DOES THEM CREDIT AND THE PEOPLE TOO ARE QUITE MUTINOUS,"Satisfactory indeed, very satisfactory. Barbara Ivanova told me today how our troops are distinguishing themselves. It certainly does them credit and the people too are quite mutinous. Thank you.","144,144,144,142",0.5
92,5,"1,2,3,4,5",mic_fileid_92_doa79_3spk_1.wav|mic_fileid_92_doa79_3spk_2.wav|mic_fileid_92_doa79_3spk_3.wav|mic_fileid_92_doa79_3spk_4.wav|mic_fileid_92_doa79_3spk_5.wav,20,256,text_fileid_92_doa256_spk1.txt,1,40,40,THE BREEZE THE SHINING SOLITUDE OF FIELDS OR WOODS HOWEVER MUCH ONE LOVES A WOMAN WHATEVER CONFIDENCE ONE MAY HAVE IN HER WHATEVER CERTAINTY HER PAST MAY OFFER US AS TO HER FUTURE ONE IS ALWAYS MORE OR LESS JEALOUS,"Uhu, east. Never do you? how are i good? YAA T´ eye() good s Ymel si If youened","262,254,256,251,263",4
93,4,"1,2,3,4",mic_fileid_93_doa3_3spk_1.wav|mic_fileid_93_doa3_3spk_2.wav|mic_fileid_93_doa3_3spk_3.wav|mic_fileid_93_doa3_3spk_4.wav,16,3,text_fileid_93_doa3_spk1.txt,0.06451612903225806,2,31,SUCH AS HAVE GUIDED MEN ALONG THE PATH OF TRUTH SINCE THE BEGINNING OF THE WORLD FROM WHAT HO SHE BUMPS TO ICH DIEN AND MORE THE THOUGHT OCCURRED TO ME,Such as have guided men along the path of truth. since the beginning of the world from what hope. she bumps to Ich Dean and more. The thought occurred to me.,"6,6,5,5",2.5
94,4,"1,2,3,4",mic_fileid_94_doa101_3spk_1.wav|mic_fileid_94_doa101_3spk_2.wav|mic_fileid_94_doa101_3spk_3.wav|mic_fileid_94_doa101_3spk_4.wav,16,101,text_fileid_94_doa101_spk1.txt,0.4722222222222222,17,36,IN HER YOUTH SHE HAD DECLINED THE ADDRESSES OF A GENTLEMAN WHO HAD THE RECOMMENDATIONS OF GOOD CHARACTER AND CONNECTIONS AND POSITION IN LIFE OF EVERYTHING IN FACT EXCEPT THE SUBTLE POWER OF TOUCHING HER HEART,"In her youth, she had to climb the addresses of a gentleman who had the recommendation And she and he together spoke some soft and unknown tone. of everything, in fact, except the subtle power of touching her heart. little white bed.","115,333,106,320",72
95,4,"1,2,3,4",mic_fileid_95_doa59_3spk_1.wav|mic_fileid_95_doa59_3spk_2.wav|mic_fileid_95_doa59_3spk_3.wav|mic_fileid_95_doa59_3spk_4.wav,16,125,text_fileid_95_doa125_spk1.txt,0.06666666666666667,2,30,WHICH A SAD EXPERIENCE HAS BROUGHT US IS WORTH OUR OWN PERSONAL SHARE OF PAIN SURELY IT IS NOT POSSIBLE TO FEEL OTHERWISE ANY MORE THAN IT WOULD BE POSSIBLE,which is sad experience has brought us is worth our own personal personal share of pain. Surely it is not possible to feel otherwise any more than it would be possible.,"124,125,124,57",17.5
96,4,"1,2,3,4",mic_fileid_96_doa99_3spk_1.wav|mic_fileid_96_doa99_3spk_2.wav|mic_fileid_96_doa99_3spk_3.wav|mic_fileid_96_doa99_3spk_4.wav,16,160,text_fileid_96_doa160_spk1.txt,0.13043478260869565,6,46,THEN WITH HIS OTHER HAND ON HIS WRIST HE BENT THE FOREARM SHARPLY AND FELT THE BICEPS AS ROUND AND HARD AS A CRICKET BALL SPRING UP UNDER HIS FINGERS FEEL THAT SAID HE THE PUBLICAN AND HORSE BREAKER FELT IT WITH AN AIR OF REVERENCE,"Then with his other hand on his wrist, he bent the forearm sharply. and felt the biceps as round and hard as a cricket ball springed out. up under his fingers. Feel that, said he. Republican and horse-breaker felt it with an air of reverence.","162,171,169,163",6.25
97,4,"1,2,3,4",mic_fileid_97_doa115_3spk_1.wav|mic_fileid_97_doa115_3spk_2.wav|mic_fileid_97_doa115_3spk_3.wav|mic_fileid_97_doa115_3spk_4.wav,16,251,text_fileid_97_doa251_spk1.txt,0.2631578947368421,10,38,HE CONTINUED TO FOLLOW THE PATH TO THE GLADE BUT TO HIS GREAT SURPRISE CARLINI ARRIVED ALMOST AS SOON AS HIMSELF LET US DRAW LOTS LET US DRAW LOTS CRIED ALL THE BRIGANDS WHEN THEY SAW THE CHIEF,"He continued to follow the path to the glade, but to his Jerusalem. surprise, currently near-arrived almost as soon as himself. Let us draw lots. Let us draw lots. Cried all the brigands when they saw... person has only made use of some","252,255,251,321",18.75
98,4,"1,2,3,4",mic_fileid_98_doa46_3spk_1.wav|mic_fileid_98_doa46_3spk_2.wav|mic_fileid_98_doa46_3spk_3.wav|mic_fileid_98_doa46_3spk_4.wav,16,128,text_fileid_98_doa128_spk1.txt,0.23255813953488372,10,43,THAT OLD NUISANCE OF A RACHEL LYNDE WAS HERE AGAIN TODAY PESTERING ME FOR A SUBSCRIPTION TOWARDS BUYING A CARPET FOR THE VESTRY ROOM SAID MISTER HARRISON WRATHFULLY I DETEST THAT WOMAN MORE THAN ANYBODY I KNOW SHE CAN PUT A WHOLE SERMON,That old nuisance of a Rachel Lind was here again today pestering.. me for a subscription towards buying a carpet for the best tree grooms. Mr. Harrison Rathfully. I had to test that one more than anybody I know. She can put a whole sermon.,"128,128,113,114",7.25
99,4,"1,2,3,4",mic_fileid_99_doa33_3spk_1.wav|mic_fileid_99_doa33_3spk_2.wav|mic_fileid_99_doa33_3spk_3.wav|mic_fileid_99_doa33_3spk_4.wav,16,247,text_fileid_99_doa247_spk1.txt,0.7142857142857143,30,42,ONLY EXISTS THE HONOUR OF THE STATE WHICH IS HIS HONOUR HE DOES NOT LOOK UPON HIMSELF AS A FREE AGENT WORKING OUT HIS OWN PERSONAL SALVATION SPIRITUAL AGONIZING IS UNKNOWN TO HIM HE HAS A SENSE OF CALM TRUST IN FATE,"only exists the honor of the state, which is his honor. imaginary audience. I tell you, I was to make a million out of this. personal salvation. Spiritual agonizing is unknown to 100 lots of $1000 each and give it to the people that hadn't done it.","246,41,247,45",78.25
100,4,"1,2,3,4",mic_fileid_100_doa58_3spk_1.wav|mic_fileid_100_doa58_3spk_2.wav|mic_fileid_100_doa58_3spk_3.wav|mic_fileid_100_doa58_3spk_4.wav,16,258,text_fileid_100_doa258_spk1.txt,0.14634146341463414,6,41,BUT CONTINUED TO SING HER RHYMES AS BEFORE FOR HOWEVER MUCH GROWN PEOPLE MIGHT LAUGH AT HER THE CHILDREN SEEMED TO ENJOY THEM VERY MUCH AND NOT ONE OF THEM WAS TOO PEEVISH TO BE QUIETED AND SOOTHED BY HER VERSES,"but continue to sing her rhymes as before. Four, help. However much grown people might laugh at her, the children seem to enjoy them very much. much, and not one of them was too peevish to be quieted and soothed by the her verses.","263,259,258,258",1.5
101,4,"1,2,3,4",mic_fileid_101_doa238_3spk_1.wav|mic_fileid_101_doa238_3spk_2.wav|mic_fileid_101_doa238_3spk_3.wav|mic_fileid_101_doa238_3spk_4.wav,16,272,text_fileid_101_doa272_spk1.txt,0.26666666666666666,8,30,MISTER BERYL SUCH A KIND GENTLEMAN MA'AM SAID YOU WOULD HELP ME I WILL SO LONG AS YOU ARE HONEST JERRY THRUST HIS TONGUE IN HIS CHEEK BUT JULIUS ANSWERED,"Mr. Barrow, such a kind gentleman. Ma'am. said you would help me. I will so long as You are honest. Jerry Frost is telling us cheap. But Julius answered.","271,258,257,272",7.5
102,4,"1,2,3,4",mic_fileid_102_doa204_3spk_1.wav|mic_fileid_102_doa204_3spk_2.wav|mic_fileid_102_doa204_3spk_3.wav|mic_fileid_102_doa204_3spk_4.wav,16,324,text_fileid_102_doa324_spk1.txt,0.3333333333333333,13,39,THESE CONSIDERATIONS RELATE TO THE FIRST TWO CAUSES OF FAILURE IN A REPRESENTATIVE GOVERNMENT THE THIRD IS WHEN THE PEOPLE WANT EITHER THE WILL OR THE CAPACITY TO FULFILL THE PART WHICH BELONGS TO THEM IN A REPRESENTATIVE CONSTITUTION,These considerations relate to the first two causes of failure and a representative government. The third is when the people want either the will or the campaign. capacity to fulfill the part which belongs to them in a representative. in the way of worldly goods to leave to the world.,"324,325,323,247",19.75
103,4,"1,2,3,4",mic_fileid_103_doa27_3spk_1.wav|mic_fileid_103_doa27_3spk_2.wav|mic_fileid_103_doa27_3spk_3.wav|mic_fileid_103_doa27_3spk_4.wav,16,59,text_fileid_103_doa59_spk1.txt,0.5,20,40,THEN I REALLY DO THINK THAT HE HAS UNCOMMON BAD TASTE SAID LUCY WITH A REALITY IN HER VOICE DIFFERING MUCH FROM THE TONE OF BANTER SHE HAD HITHERTO USED WHAT LUCY SAID HER SISTER IN LAW LOOKING AT HER,"Then I really do think that he has a common bad taste, so there's... with the rarity in her voice differing much from the tone of banter she had hit. they're too heaps. What? Lucy! said her sister-in-law. and they bring up so many that have none.","58,62,49,254",44.75
104,5,"1,2,3,4,5",mic_fileid_104_doa10_3spk_1.wav|mic_fileid_104_doa10_3spk_2.wav|mic_fileid_104_doa10_3spk_3.wav|mic_fileid_104_doa10_3spk_4.wav|mic_fileid_104_doa10_3spk_5.wav,20,301,text_fileid_104_doa301_spk1.txt,0.10869565217391304,5,46,BUT IN THE YARD THERE WAS A LIGHT FROM THE FIRE AT LITTLE MYTISHCHI A MILE AND A HALF AWAY AND THROUGH THE NIGHT CAME THE NOISE OF PEOPLE SHOUTING AT A TAVERN MAMONOV'S COSSACKS HAD SET UP ACROSS THE STREET AND THE ADJUTANT'S UNCEASING MOANS,"But in the yard there was a light from the fire and little Mateshi. a mile and a half away. And through the night came the noise of people shouting at a tavern. Mimanov's Cossacks had set up. across the street, and the adjutants unceasing moans Thank you.","301,301,300,300,270",6.6
105,4,"1,2,3,4",mic_fileid_105_doa7_3spk_1.wav|mic_fileid_105_doa7_3spk_2.wav|mic_fileid_105_doa7_3spk_3.wav|mic_fileid_105_doa7_3spk_4.wav,16,134,text_fileid_105_doa134_spk1.txt,0.14634146341463414,6,41,I DIDN'T SUPPOSE THERE WAS ANY ONE WHO DIDN'T KNOW THOSE SHARP SQUEAKY VOICES THEY RATHER GET ON MY NERVES WHAT ANYBODY WANTS TO SQUEAK LIKE THAT FOR WHEN THEY CAN SING AS ROSEBREAST CAN IS MORE THAN I CAN UNDERSTAND,"I didn't suppose there was anyone who didn't know those sharp, squeaky- voices. They rather get on my nerves. When anybody wants to to squeak like that for when they can sing as Rosebrest can is more than than I can understand.","135,134,134,134",0.25
106,4,"1,2,3,4",mic_fileid_106_doa79_3spk_1.wav|mic_fileid_106_doa79_3spk_2.wav|mic_fileid_106_doa79_3spk_3.wav|mic_fileid_106_doa79_3spk_4.wav,16,130,text_fileid_106_doa130_spk1.txt,0.15384615384615385,6,39,A SINGLE GLANCE AT THE LANDSCAPE WAS SUFFICIENT TO SHOW ME HOW WIDELY DIFFERENT IT WAS FROM ANYTHING I HAD EVER BEHELD AT NIGHT IT BLEW A GALE OF WIND AND HEAVY SQUALLS FROM THE MOUNTAINS SWEPT PAST US,A single glance at the landscape was sufficient to show me how widely different it was with anything I had ever beheld. At night it blew agale. wind and heavy squalls from the mountains swept past us. better ways.,"129,129,129,83",12.5
107,4,"1,2,3,4",mic_fileid_107_doa58_3spk_1.wav|mic_fileid_107_doa58_3spk_2.wav|mic_fileid_107_doa58_3spk_3.wav|mic_fileid_107_doa58_3spk_4.wav,16,58,text_fileid_107_doa58_spk1.txt,0.21212121212121213,7,33,WHY WHAT'S UP SAID PHILIP SURPRISED AT WILLIAM'S UNUSUAL MANNER AND AT THE SAME TIME RATHER GRATIFIED TO FIND A REFLECTION OF HIS OWN FEELINGS ABOUT KINRAID COULSON'S FACE WAS PALE WITH ANGER,"Why? What's up? said Phillip. Surprise that Williams unusual matter, and at the same time rather gratified to find a reflection of his own feelings about Kinraid. Coulson's face was pale of anger. any play.","58,57,58,120",15.75
108,4,"1,2,3,4",mic_fileid_108_doa63_3spk_1.wav|mic_fileid_108_doa63_3spk_2.wav|mic_fileid_108_doa63_3spk_3.wav|mic_fileid_108_doa63_3spk_4.wav,16,63,text_fileid_108_doa63_spk1.txt,1,32,32,A REPRESENTATIVE ASSEMBLY DRAWN FROM AMONG THEMSELVES WOULD SIMPLY REFLECT THEIR OWN TURBULENT INSUBORDINATION IT WOULD REFUSE ITS AUTHORITY TO ALL PROCEEDINGS WHICH WOULD IMPOSE ON THEIR SAVAGE INDEPENDENCE ANY IMPROVING RESTRAINT,"and drove the blood from their faces to their hearts, with a chill. of think hanging over you always. She's clever you know and I should refused its authority to all proceedings which would impose on their savage of leaning our shoulders, completely flat.","240,189,44,32",88.25
109,4,"1,2,3,4",mic_fileid_109_doa236_3spk_1.wav|mic_fileid_109_doa236_3spk_2.wav|mic_fileid_109_doa236_3spk_3.wav|mic_fileid_109_doa236_3spk_4.wav,16,236,text_fileid_109_doa236_spk1.txt,0.30303030303030304,10,33,NOR ARE THEY EVER RECALLED WITHOUT BRINGING BACK WITH THEM MYRIADS OF SLUMBERING FEELINGS AND HALF FORGOTTEN IMAGES WE HEAR THE SWEET LOW VOICE OF THE MOTHER SINGING SOFT LULLABIES TO HER DARLING,"Nor are they ever recalled without bringing back with them, Mareads of slumber. feeling and half forgotten images. the sweet low voice of the mother singing soft lullabies to her his fellow citizens held him.","235,236,236,352",29.25
110,3,"1,2,3",mic_fileid_110_doa31_3spk_1.wav|mic_fileid_110_doa31_3spk_2.wav|mic_fileid_110_doa31_3spk_3.wav,12,265,text_fileid_110_doa265_spk1.txt,0.2222222222222222,6,27,ENOW OF PATRIOTS STILL REMAINED TO KEEP UP THE ILL HUMOR OF THE HOUSE AND MEN NEEDED BUT LITTLE INSTRUCTION OR RHETORIC TO RECOMMEND TO THEM PRACTICES,"And now, if Patriots still remain to keep up the ill humor... of the house and men needed but little instruction or rhetoric. to recommend the practices.","267,265,266",1
111,4,"1,2,3,4",mic_fileid_111_doa38_3spk_1.wav|mic_fileid_111_doa38_3spk_2.wav|mic_fileid_111_doa38_3spk_3.wav|mic_fileid_111_doa38_3spk_4.wav,16,186,text_fileid_111_doa186_spk1.txt,0.0425531914893617,2,47,BUT THE DAY DID NOT TURN OUT SO BADLY AFTER ALL AS WE WORKED OUR WAY OUT OF THIS UNCERTAINTY AND FOUND OUT WHAT WAS BEHIND THE PITCH DARK CLOUDS DURING THE FORENOON THE SUN CAME THROUGH AND THRUST ASIDE THE FOG FOR A WHILE AND THERE,"But the day did not turn out so badly after all. as we worked our way out of this uncertainty and found out what was behind. behind the pitch dark clouds. During the forenoon, the sun came up. through and thrust aside the fog for a while. And there...","202,184,200,198",11
112,4,"1,2,3,4",mic_fileid_112_doa172_3spk_1.wav|mic_fileid_112_doa172_3spk_2.wav|mic_fileid_112_doa172_3spk_3.wav|mic_fileid_112_doa172_3spk_4.wav,16,172,text_fileid_112_doa172_spk1.txt,0.06976744186046512,3,43,SETTLING SILENTLY IN THE DRY MOUNTAIN AIR OR MASSED IN FLAKES SOFT AND DOWNY TO LIE OUT ALONE IN THE MOUNTAINS OF A STILL NIGHT AND BE TOUCHED BY THE FIRST OF THESE SMALL SILENT MESSENGERS FROM THE SKY IS A MEMORABLE EXPERIENCE,"Settling silently in the dry mountain air or masked in flames. soft and downy to lie out alone in the mountains of a sea. still night, and be touched by the first of these small silent messengers from the sky is a memorable experience.","168,166,173,163",5
113,5,"1,2,3,4,5",mic_fileid_113_doa12_3spk_1.wav|mic_fileid_113_doa12_3spk_2.wav|mic_fileid_113_doa12_3spk_3.wav|mic_fileid_113_doa12_3spk_4.wav|mic_fileid_113_doa12_3spk_5.wav,20,64,text_fileid_113_doa64_spk1.txt,0.11363636363636363,5,44,HE KNEW THAT IF HE DID SO HE SHOULD NEVER RISE AGAIN HE WAS OVERCOME BY FATIGUE AND THE WEIGHT OF THE DARKNESS WOULD AS WITH THE DEAD WOMAN HAVE HELD HIM TO THE GROUND AND THE ICE GLUED HIM ALIVE TO THE EARTH,"He knew that if he did so, he shouldn't never rise again. He was overcome by fatigue and the weight of the darkness. as would the dead woman have held into the ground. and the ice glued him alive to the earth.","81,63,63,63,349",19
114,5,"1,2,3,4,5",mic_fileid_114_doa42_3spk_1.wav|mic_fileid_114_doa42_3spk_2.wav|mic_fileid_114_doa42_3spk_3.wav|mic_fileid_114_doa42_3spk_4.wav|mic_fileid_114_doa42_3spk_5.wav,20,273,text_fileid_114_doa273_spk1.txt,0.30303030303030304,10,33,I SAW AS IT FELL ACROSS MY BABY THE SHADOW OF THE VEIL WITHIN THE VEIL WAS HE BORN SAID I AND THERE WITHIN SHALL HE LIVE A NEGRO AND A NEGRO'S SON,"I saw as it fell across my baby. Perhaps the jackals simple and with this satisfied faces Then the male was he born, said I, and there within shall he live. A Negro and a Negro's son.","258,352,272,273,274",19.2
115,4,"1,2,3,4",mic_fileid_115_doa10_3spk_1.wav|mic_fileid_115_doa10_3spk_2.wav|mic_fileid_115_doa10_3spk_3.wav|mic_fileid_115_doa10_3spk_4.wav,16,201,text_fileid_115_doa201_spk1.txt,0.02631578947368421,1,38,I CANNOT STAND I SAID THERE IS SOMETHING GONE IN MY LEG AND I FEEL BLOOD RUNNING DOWN INTO MY BOOT HE KNELT AND ROLLED DOWN THE LEG OF MY STOCKING BUT THOUGH HE ONLY MOVED MY FOOT,"I cannot stand, I said. There is something gone. in my leg and I feel blood running down into my boot. He knelt and rolled down the leg of my stalking. but though he only moved my foot.","195,197,199,198",3.75
116,4,"1,2,3,4",mic_fileid_116_doa41_3spk_1.wav|mic_fileid_116_doa41_3spk_2.wav|mic_fileid_116_doa41_3spk_3.wav|mic_fileid_116_doa41_3spk_4.wav,16,41,text_fileid_116_doa41_spk1.txt,0.34375,11,32,UPON CLOSER OBSERVATION I SAW AS WE PASSED THEM THAT THE BUILDINGS WERE DESERTED AND WHILE NOT GREATLY DECAYED HAD THE APPEARANCE OF NOT HAVING BEEN TENANTED FOR YEARS POSSIBLY FOR AGES,"Upon closer observation, I saw as we passed them, the the buildings were deserved and while not greatly decayed had they appearance of not having been tinted for years, possibly. Well, don't we fight like the devil?","42,41,41,146",26.5
117,4,"1,2,3,4",mic_fileid_117_doa283_3spk_1.wav|mic_fileid_117_doa283_3spk_2.wav|mic_fileid_117_doa283_3spk_3.wav|mic_fileid_117_doa283_3spk_4.wav,16,326,text_fileid_117_doa326_spk1.txt,0.11363636363636363,5,44,NEW PROPOSALS WERE ACCORDINGLY MADE FOR AN OFFENSIVE AND DEFENSIVE ALLIANCE WITHOUT ANY SUGGESTION OF A UNION COUPLED WITH THE CONDITION THAT BOTH STATES SHOULD BIND THEMSELVES NOT TO ALLOW THE PRESENCE WITHIN THEIR BOUNDARIES OF AVOWED ENEMIES OF THE OTHER IN OTHER WORDS,"New proposals were accordingly made for an offensive and defensive along- without any suggestion of a union, coupled with the condition that both states should find themselves not to allow the presence within their boundaries of a f- . . . . . . . found enemies of the other, in other words.","326,324,325,333",2.5
118,4,"1,2,3,4",mic_fileid_118_doa22_3spk_1.wav|mic_fileid_118_doa22_3spk_2.wav|mic_fileid_118_doa22_3spk_3.wav|mic_fileid_118_doa22_3spk_4.wav,16,209,text_fileid_118_doa209_spk1.txt,0.1875,6,32,THE TROOPS SIFTING THROUGH THE FOREST WERE SULLEN IN THE YOUTH'S COMPANY ONCE A MAN'S LAUGH RANG OUT A DOZEN SOLDIERS TURNED THEIR FACES QUICKLY TOWARD HIM AND FROWNED WITH VAGUE DISPLEASURE,"The troops sifting through the forest were sullen. In the youth's company once a man's laughing out. A dozen soldiers turned their faces quickly toward him and frowned with vague displeasure. a faithful, titanic nation.","206,211,203,324",31.5
119,4,"1,2,3,4",mic_fileid_119_doa74_3spk_1.wav|mic_fileid_119_doa74_3spk_2.wav|mic_fileid_119_doa74_3spk_3.wav|mic_fileid_119_doa74_3spk_4.wav,16,313,text_fileid_119_doa313_spk1.txt,0.09302325581395349,4,43,SETTLING SILENTLY IN THE DRY MOUNTAIN AIR OR MASSED IN FLAKES SOFT AND DOWNY TO LIE OUT ALONE IN THE MOUNTAINS OF A STILL NIGHT AND BE TOUCHED BY THE FIRST OF THESE SMALL SILENT MESSENGERS FROM THE SKY IS A MEMORABLE EXPERIENCE,settling silently in the dry mountain air or mast inflating. soft and downy to lie out alone in the mountains of a sea. still night and be touched by the first of these small silent messengers from the sky is a memorable experience.,"312,312,313,311",1
120,5,"1,2,3,4,5",mic_fileid_120_doa2_3spk_1.wav|mic_fileid_120_doa2_3spk_2.wav|mic_fileid_120_doa2_3spk_3.wav|mic_fileid_120_doa2_3spk_4.wav|mic_fileid_120_doa2_3spk_5.wav,20,257,text_fileid_120_doa257_spk1.txt,0.06451612903225806,2,31,IN THE MOST POLITE MANNER TO APPOINT A FRIEND WITH WHOM HE CAPTAIN M M MIGHT COMMUNICATE AND DESIRED THAT THE MEETING MIGHT TAKE PLACE WITH AS LITTLE DELAY AS POSSIBLE,"in the most polite manner to appoint a friend. with whom he, Captain M. M. my communicate and desire that the meeting might take place with as little delay as possible.","260,259,253,259,97",34.2
121,4,"1,2,3,4",mic_fileid_121_doa6_3spk_1.wav|mic_fileid_121_doa6_3spk_2.wav|mic_fileid_121_doa6_3spk_3.wav|mic_fileid_121_doa6_3spk_4.wav,16,6,text_fileid_121_doa6_spk1.txt,0.25925925925925924,7,27,THAN ALL THE REST LEOPOLD WAS EVER PRESENT TO HIM AND WHILE HE STROVE TO AVOID ABSORPTION IN A PERSONAL INTEREST HOWEVER JUSTIFIABLE IT WAS OF NECESSITY,"than all the rest Leopold was ever present to him. and while he strove to avoid absorption innate. personal interest, however, justifiable. It was a mistake. all of your mind.","7,6,6,181",44
122,4,"1,2,3,4",mic_fileid_122_doa14_3spk_1.wav|mic_fileid_122_doa14_3spk_2.wav|mic_fileid_122_doa14_3spk_3.wav|mic_fileid_122_doa14_3spk_4.wav,16,302,text_fileid_122_doa302_spk1.txt,0.3333333333333333,10,30,AFTER SOME MOMENTS CONSIDERATION YOU MAY BE ABLE TO GUESS AT YOUR BROTHER'S INTENTIONS FROM ALL THIS BUT I AM SURE I CANNOT BUT IS NOT YOUR FATHER UNCOMFORTABLE ABOUT,"After some moment's consideration, you may be able to guess at your... brother's intentions from Aldous, but I am sure I cannot. But it's not your father uncomfortable about it. Let me come back and now...","313,303,309,11",22
123,4,"1,2,3,4",mic_fileid_123_doa174_3spk_1.wav|mic_fileid_123_doa174_3spk_2.wav|mic_fileid_123_doa174_3spk_3.wav|mic_fileid_123_doa174_3spk_4.wav,16,323,text_fileid_123_doa323_spk1.txt,0.9117647058823529,31,34,IT IS THE STORY OF SARAMA IN THE RIG VEDA AND WAS WRITTEN IN SANSCRIT UNDER THE SHADOW OF THE HIMALAYAS CENTURIES BEFORE HOMER SUCH UNIFORMITY POINTS NOT TO A COMMON SOURCE IN HISTORY,It is the story of Sarama in the Rig Vita and was written by the late King of the Vita. written in recentric. I'm going to saddle up the himalayas. Simply. and Margaret was obliged to remain more in the house than she had ever done. a common source in history.,"336,298,167,323",48.5
124,5,"1,2,3,4,5",mic_fileid_124_doa62_3spk_1.wav|mic_fileid_124_doa62_3spk_2.wav|mic_fileid_124_doa62_3spk_3.wav|mic_fileid_124_doa62_3spk_4.wav|mic_fileid_124_doa62_3spk_5.wav,20,251,text_fileid_124_doa251_spk1.txt,0.10526315789473684,4,38,AND THEN WITHOUT FAIL YOU SHALL HAVE YOUR PUPPETS TO PLAY WITH ALMOST BEFORE THE GNOME HAD FINISHED THE DISAPPOINTED PRINCESS TURNED AWAY AND MARCHED OFF TO HER OWN APARTMENTS WITHOUT DEIGNING TO ANSWER HIM THE GNOME HOWEVER,"And then without fail, you shall have your puppets to play with. Almost before the gnome had finished, a disappointed princess turned... away and marched off to her own apartments without dating. to answer him. But no, however.","255,250,251,249,306",12.4
125,4,"1,2,3,4",mic_fileid_125_doa76_3spk_1.wav|mic_fileid_125_doa76_3spk_2.wav|mic_fileid_125_doa76_3spk_3.wav|mic_fileid_125_doa76_3spk_4.wav,16,303,text_fileid_125_doa303_spk1.txt,0.5151515151515151,17,33,THINKING THE WHILE OF THE PREPARATION OF CHRIST'S BODY FOR THE TOMB AND OF HIM WHO SAID INASMUCH AS YE DO IT TO THE LEAST OF MY BRETHREN YE DO IT UNTO ME,"Thinking the while of the preparation of Christ's body for the tomb. and of him who said, in a smart facet lost his love. It so proved himself to be a villain. The name","298,302,78,77",68.75
