fileid,mic_file,predicted_doas,output_dir,output_prefix,command,returncode,elapsed_sec,stdout_log,stderr_log,separated_wav_count
107,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_107_doa58_3spk.wav,"57,123,266",/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_107,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_107/hark_raw_fileid_107,batchflow '/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_107/runtime_fileid_107.n' '/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_107_doa58_3spk.wav' '/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_107/hark_raw_fileid_107',0,4.311618433000149,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_logs/hark_fileid_107.stdout.log,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_logs/hark_fileid_107.stderr.log,3
108,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_108_doa63_3spk.wav,"25,190,241",/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_108,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_108/hark_raw_fileid_108,batchflow '/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_108/runtime_fileid_108.n' '/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_108_doa63_3spk.wav' '/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_108/hark_raw_fileid_108',0,4.055750198999704,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_logs/hark_fileid_108.stdout.log,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_logs/hark_fileid_108.stderr.log,3
109,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_109_doa236_3spk.wav,"233,278,351",/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_109,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_109/hark_raw_fileid_109,batchflow '/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_109/runtime_fileid_109.n' '/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_109_doa236_3spk.wav' '/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_109/hark_raw_fileid_109',0,4.75510654899972,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_logs/hark_fileid_109.stdout.log,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_logs/hark_fileid_109.stderr.log,3
110,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_110_doa31_3spk.wav,"10,103,265",/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_110,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_110/hark_raw_fileid_110,batchflow '/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_110/runtime_fileid_110.n' '/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_110_doa31_3spk.wav' '/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_110/hark_raw_fileid_110',0,2.905559241999981,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_logs/hark_fileid_110.stdout.log,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_logs/hark_fileid_110.stderr.log,3
111,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_111_doa38_3spk.wav,"199,255,339",/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_111,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_111/hark_raw_fileid_111,batchflow '/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_111/runtime_fileid_111.n' '/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_111_doa38_3spk.wav' '/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_111/hark_raw_fileid_111',0,4.481823878999421,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_logs/hark_fileid_111.stdout.log,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_logs/hark_fileid_111.stderr.log,3
112,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_112_doa172_3spk.wav,"168,263,300",/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_112,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_112/hark_raw_fileid_112,batchflow '/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_112/runtime_fileid_112.n' '/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_112_doa172_3spk.wav' '/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_112/hark_raw_fileid_112',0,4.546609735999482,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_logs/hark_fileid_112.stdout.log,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_logs/hark_fileid_112.stderr.log,3
113,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_113_doa12_3spk.wav,"14,76,213",/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_113,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_113/hark_raw_fileid_113,batchflow '/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_113/runtime_fileid_113.n' '/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_113_doa12_3spk.wav' '/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_113/hark_raw_fileid_113',0,4.290408733999357,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_logs/hark_fileid_113.stdout.log,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_logs/hark_fileid_113.stderr.log,3
114,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_114_doa42_3spk.wav,"41,257,351",/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_114,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_114/hark_raw_fileid_114,batchflow '/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_114/runtime_fileid_114.n' '/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_114_doa42_3spk.wav' '/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_114/hark_raw_fileid_114',0,4.454987768999672,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_logs/hark_fileid_114.stdout.log,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_logs/hark_fileid_114.stderr.log,3
115,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_115_doa10_3spk.wav,"126,197,359",/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_115,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_115/hark_raw_fileid_115,batchflow '/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_115/runtime_fileid_115.n' '/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_115_doa10_3spk.wav' '/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_115/hark_raw_fileid_115',0,4.24400486400009,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_logs/hark_fileid_115.stdout.log,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_logs/hark_fileid_115.stderr.log,3
116,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_116_doa41_3spk.wav,"42,145,174",/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_116,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_116/hark_raw_fileid_116,batchflow '/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_116/runtime_fileid_116.n' '/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_116_doa41_3spk.wav' '/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_116/hark_raw_fileid_116',0,4.193472043000838,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_logs/hark_fileid_116.stdout.log,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_logs/hark_fileid_116.stderr.log,3
117,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_117_doa283_3spk.wav,"278,325,355",/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_117,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_117/hark_raw_fileid_117,batchflow '/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_117/runtime_fileid_117.n' '/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_117_doa283_3spk.wav' '/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_117/hark_raw_fileid_117',0,4.05096627400053,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_logs/hark_fileid_117.stdout.log,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_logs/hark_fileid_117.stderr.log,3
118,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_118_doa22_3spk.wav,"34,207,324",/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_118,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_118/hark_raw_fileid_118,batchflow '/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_118/runtime_fileid_118.n' '/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_118_doa22_3spk.wav' '/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_118/hark_raw_fileid_118',0,4.1276928360002785,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_logs/hark_fileid_118.stdout.log,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_logs/hark_fileid_118.stderr.log,3
119,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_119_doa74_3spk.wav,"243,262,312",/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_119,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_119/hark_raw_fileid_119,batchflow '/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_119/runtime_fileid_119.n' '/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_119_doa74_3spk.wav' '/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_119/hark_raw_fileid_119',0,4.320201524999902,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_logs/hark_fileid_119.stdout.log,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_logs/hark_fileid_119.stderr.log,3
120,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_120_doa2_3spk.wav,"11,255,301",/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_120,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_120/hark_raw_fileid_120,batchflow '/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_120/runtime_fileid_120.n' '/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_120_doa2_3spk.wav' '/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_120/hark_raw_fileid_120',0,4.449608906999856,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_logs/hark_fileid_120.stdout.log,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_logs/hark_fileid_120.stderr.log,3
121,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_121_doa6_3spk.wav,"5,132,180",/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_121,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_121/hark_raw_fileid_121,batchflow '/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_121/runtime_fileid_121.n' '/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_121_doa6_3spk.wav' '/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_121/hark_raw_fileid_121',0,4.047826587999225,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_logs/hark_fileid_121.stdout.log,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_logs/hark_fileid_121.stderr.log,3
122,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_122_doa14_3spk.wav,"13,151,310",/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_122,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_122/hark_raw_fileid_122,batchflow '/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_122/runtime_fileid_122.n' '/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_122_doa14_3spk.wav' '/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_122/hark_raw_fileid_122',0,4.522420171000704,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_logs/hark_fileid_122.stdout.log,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_logs/hark_fileid_122.stderr.log,3
123,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_123_doa174_3spk.wav,"158,277,343",/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_123,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_123/hark_raw_fileid_123,batchflow '/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_123/runtime_fileid_123.n' '/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_123_doa174_3spk.wav' '/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_123/hark_raw_fileid_123',0,4.135986365999997,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_logs/hark_fileid_123.stdout.log,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_logs/hark_fileid_123.stderr.log,3
124,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_124_doa62_3spk.wav,"61,251,340",/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_124,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_124/hark_raw_fileid_124,batchflow '/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_124/runtime_fileid_124.n' '/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_124_doa62_3spk.wav' '/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_124/hark_raw_fileid_124',0,4.2962050559999625,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_logs/hark_fileid_124.stdout.log,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_logs/hark_fileid_124.stderr.log,3
125,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_125_doa76_3spk.wav,"79,210,325",/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_125,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_125/hark_raw_fileid_125,batchflow '/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_125/runtime_fileid_125.n' '/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_125_doa76_3spk.wav' '/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_125/hark_raw_fileid_125',0,4.395970538999791,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_logs/hark_fileid_125.stdout.log,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_logs/hark_fileid_125.stderr.log,3
126,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_126_doa119_3spk.wav,"124,242,321",/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_126,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_126/hark_raw_fileid_126,batchflow '/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_126/runtime_fileid_126.n' '/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_126_doa119_3spk.wav' '/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_126/hark_raw_fileid_126',0,4.124176594999881,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_logs/hark_fileid_126.stdout.log,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_logs/hark_fileid_126.stderr.log,3
